Cluster,Position,Updated,Type,Requested,Alternative Name,Unit,Fuel Type,Net MW,Summer MW,Winter MW,County,State,Op Date,Sync Date,W/ D Date,Interconnection Location,Serv,SIS Complete,I39,TO Report,Dev,Zone,FS,SIS,OS,FAC,IA,Project Status
,379,2014-09-02 10:57:57.210,G,2011-10-19,CornerStone Power Monson 3,PV,SUN,4.92,4.92,4.92,Hampden,MA,2014-11-01,2014-10-15,2014-08-12,GRID 69 kV N14 Line,NR,True,True,ISO-NE,BL,WMA,,Document Posted,,,Executed,Under Construction
,380,2015-02-17 08:20:04.007,ETU,2011-11-10,1000 MW HVDC Line,,,,,,,MA,2020-06-01,2020-01-01,2015-02-16,NSTAR Carver 345 kV,,False,False,,,SEMA,,Not Started,,,,
,380,2015-02-17 08:20:50.417,ETU,2011-11-10,1000 MW HVDC Line,,,,,,,MA,2020-06-01,2020-01-01,2015-02-16,NSTAR Barnstable 345 kV,,False,False,,,SEMA,,Not Started,,,,
,381,2013-10-21 13:53:04.077,G,2011-11-14,Wind,WT,WND,11.90,11.90,11.90,Lincoln,ME,2017-09-15,2017-09-01,2013-10-21,CMP 34.5 kV Boothbay Substation,CNR,True,False,CMP,BL,ME,,Document Posted,,,,
,382,2012-11-20 00:00:00.000,G,2011-12-05,Wind,WT,WND,79.86,79.86,79.86,Oxford,ME,2014-10-31,2014-07-31,2012-11-20,CMP 115 kV Rumford to Livermore Line,CNR,False,False,,PD,ME,,,,,,
,383,2013-07-26 09:49:48.367,G,2011-12-22,Wind,WT,WND,198.00,198.00,198.00,Franklin,ME,2016-10-31,2015-10-31,2013-07-26,CMP Roxbury substation,CNR,False,False,,PD,ME,Document Posted,,,,,
,384,2018-05-21 09:52:10.944,G,2011-12-29,CPV Towantic Energy Center,CC,DFO NG,745.00,745.00,775.00,New Haven,CT,2018-05-21,2018-01-24,,CL&amp;P 115 kV,CNR,True,True,ISO-NE,PD,SWCT,,Document Posted,,,Executed,In Service
,385,2014-05-21 10:15:28.627,G,2012-01-06,Wind,WT,WND,60.00,60.00,60.00,Calendonia and Essex,VT,2015-12-01,2015-09-01,2014-05-21,VELCO 115 kV Lyndonville substation,CNR,False,False,,PD,VT,Document Posted,In Progress,,,,
,386,2013-02-05 00:00:00.000,G,2012-01-12,Westbrook Energy Center Expansion,CC,NG,9.50,538.00,597.00,York,ME,2013-01-31,2013-01-31,,CMP 115 kV Westbrook Substation,CNR,True,True,ISO-NE,CD,SME,,,,,Executed,
,387,2013-03-26 12:27:02.190,G,2012-01-13,Gas Turbine Increase,GT,NG,13.50,250.00,250.00,New Haven,CT,2013-02-28,2013-02-28,2013-03-22,CMEEC 115kV Wallingford Substation,,False,True,,,SWCT,,Document Posted,,,Executed,Under Construction
,387,2018-05-31 09:57:08.164,G,2012-01-13,Footprint Combined Cycle Unit,CC,NG,715.60,715.60,715.60,Essex,MA,2018-05-31,2017-12-22,,NGRID 115 kV Salem Harbor Substation,CNR,True,True,NGRID,BL,BOST,,Document Posted,,,Executed,In Service
,388,2013-03-26 12:28:14.707,G,2012-01-13,Combined Cycle,CC,NG,680.00,680.00,700.00,Fairfield,CT,2016-05-31,2016-03-01,2013-03-19,UI 115 kV or 345 kV,,False,False,,PD,SWCT,,,,,,
,389,2012-03-23 00:00:00.000,G,2012-01-17,Solar,PV,SUN,5.04,5.04,5.04,Fairfield,CT,2013-05-31,2013-03-31,2012-03-23,CL&P 115 kV Norwalk Harbor Substation,CNR,False,False,,,NOR,,,,,,
,390,2017-04-11 10:11:10.099,G,2012-01-30,Spruce Ridge Wind Farm,WT,WND,50.82,50.82,50.82,Grafton,NH,2017-10-31,2017-09-18,2017-04-10,NGRID 230 kV Comerford/Dunbarton Line,NR,True,True,ISO-NE,PD,NH,,Document Posted,,,Executed,
,391,2015-10-09 14:24:51.283,G,2012-02-02,Weston Station Uprate U4,HD,WAT,1.60,14.81,14.81,Somerset,ME,2015-07-31,2015-07-30,,CMP 34.5 kV Weston Substation,CNR,True,True,ISO-NE,BL,ME,,,,,Executed,In Service
