Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
GI-TC-2024-12,,RTOE Transitional Cluster,,Yuma County,CO,TSGT,3/1/2027,10/31/2027,,,170.00,170.00,170.00,ER,0.00,0.00,0.00,Wind,Wind,Burlington-Wray 230 Line,5/21/2024,,IA FULLY EXECUTED/ON SCHEDULE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-11,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,12/31/2027,,,,166.60,166.60,166.60,ER,0.00,0.00,0.00,Wind,Wind,Looff 230 Substation (BurlingtonExpansion),5/29/2024,,IA FULLY EXECUTED/ON SUSPENSION,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-10,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,3/5/2026,12/29/2028,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Solar,Photovoltaic,Burlington 230 Substation,5/23/2024,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-09,,RTOE Transitional Cluster,,Yuma County,CO,TSGT,12/5/2028,12/31/2026,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Solar,Photovoltaic,North Yuma 230 Substation,5/26/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-08,,RTOE Transitional Cluster,,Kit Carson County,CO,TSGT,12/31/2027,,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Wind,Wind,Looff 230 Substation (BurlingtonExpansion),5/26/2023,,IA FULLY EXECUTED/ON SUSPENSION,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-07,,RTOE Transitional Cluster,,Cheyenne County,CO,TSGT,11/1/2026,12/31/2028,,,199.00,199.00,199.00,ER,0.00,0.00,0.00,Solar,Photovoltaic,Burlington - Lamar 230  Line,5/22/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-06,,RTOE Transitional Cluster,,Platte County,WY,TSGT,12/1/2027,10/1/2026,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Wind,Wind,LRS-Wayne Child 345 Line,5/22/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-05,,RTOE Transitional Cluster,,Platte County,WY,TSGT,12/1/2027,10/1/2026,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Wind,Wind,LRS-Wayne Child 345 Line,5/22/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-04,,RTOE Transitional Cluster,,Platte County,WY,TSGT,12/1/2027,10/1/2026,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Wind,Wind,LRS-Wayne Child 345 Line,5/22/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
GI-TC-2024-03,,RTOE Transitional Cluster,,Platte/Goshen Counties,WY,TSGT,10/2/2029,12/28/2028,,,160.00,160.00,160.00,ER,0.00,0.00,0.00,Solar,Photovoltaic,Monolith 115 Substation,5/8/2023,,FACILITY STUDY STAGE,,,GIA delayed due to  Affected Systems Study
