Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
GEN-2024-143,,DISIS-2024-001,05 SOUTHWEST,Dallam,TX,SPS,10/1/2032,12/31/2032,,,250.00,250.00,250.00,ER/NR,250.00,250.00,251.00,Wind,Wind,XIT Interchange 230 kV Substation,3/1/2025,,DISIS STAGE,No,,
GEN-2024-141,,DISIS-2024-001,01 NORTH,Mercer,ND,BEPC,10/1/2031,12/31/2031,,,212.00,212.00,212.00,ER,212.00,212.00,212.00,Wind,Wind,BASIN__-BE4 230 kV Substation,3/1/2025,,DISIS STAGE,Yes,,
GEN-2024-140,,DISIS-2024-001,02 NEBRASKA,Mercer,NE,NPPD,10/3/2033,12/30/2033,,,250.00,250.00,250.00,ER/NR,250.00,250.00,250.00,Solar,Photovoltaic,Antelope - Hoskins 345 kV line,3/1/2025,,DISIS STAGE,Yes,,
GEN-2024-139,,DISIS-2024-001,03 CENTRAL,Coffey,KS,NEETSW,10/3/2033,12/31/2033,,,250.00,250.00,250.00,ER/NR,250.00,250.00,250.00,Solar,Photovoltaic,Wolf Creek - Blackberry 345 kV Line,3/1/2025,,DISIS STAGE,Yes,,
GEN-2024-129,,DISIS-2024-001,03 CENTRAL,Labette,KS,WERE,4/28/2030,12/31/2030,,,910.00,910.00,910.00,ER/NR,910.00,910.00,969.00,Thermal,Gas,Caney River - Neosho 345 kV Line,3/1/2025,,DISIS STAGE,Yes,,
GEN-2024-128,,DISIS-2024-001,04 SOUTHEAST,Anadarko,OK,OGE,4/28/2030,12/31/2030,,,690.00,690.00,690.00,ER/NR,690.00,690.00,726.90,Thermal,Gas,Gracemont - Lawton 345 kV Line,3/1/2025,,DISIS STAGE,No,,
GEN-2024-125,,DISIS-2024-001,03 CENTRAL,Elk ,KS,WERE,5/1/2028,6/30/2028,,,400.00,400.00,400.00,ER/NR,400.00,400.00,410.43,Solar,Photovoltaic,Neosho Ridge - Caney River 345 kV Line,3/1/2025,,DISIS STAGE,No,,
GEN-2024-122,,DISIS-2024-001,04 SOUTHEAST,Marion,TX,AEP,8/1/2029,10/31/2029,,,160.00,160.00,160.00,ER/NR,160.00,160.00,373.46,Hybrid,Solar/Storage,Lieberman - IPC Jefferson 138 kV Line,3/1/2025,,DISIS STAGE,Yes,,
GEN-2024-120,,DISIS-2024-001,04 SOUTHEAST,Oklahoma ,OK,OGE,6/30/2028,12/31/2028,,,199.00,199.00,199.00,ER/NR,199.00,199.00,201.15,Battery/Storage,Battery,JNS KAMO 138 kV Substation,3/1/2025,,DISIS STAGE,No,,
GEN-2024-118,,DISIS-2024-001,04 SOUTHEAST,Wagoner,OK,AEP,6/30/2028,12/31/2028,,,199.00,199.00,199.00,ER/NR,199.00,199.00,201.15,Battery/Storage,Battery,East 11th Street 138kV Substation,3/1/2025,,DISIS STAGE,No,,
GEN-2024-117,,DISIS-2024-001,04 SOUTHEAST,Washington,OK,AEP,6/30/2028,12/31/2028,,,150.00,150.00,150.00,ER/NR,150.00,150.00,192.35,Hybrid,Solar/Storage,Coffeyville Tap - North Bartlesville 138kV Line,3/1/2025,,DISIS STAGE,No,,
GEN-2024-113,,DISIS-2024-001,04 SOUTHEAST,Sequoyah,OK,OGE,6/30/2028,12/31/2028,,,170.00,170.00,170.00,ER/NR,170.00,170.00,303.81,Hybrid,Solar/Storage,Muskogee - Ft. Smith 345 kV Line,3/1/2025,,DISIS STAGE,Yes,,
GEN-2024-109,,DISIS-2024-001,05 SOUTHWEST,Bailey,TX,SPS,12/31/2030,12/31/2031,,,400.50,400.50,400.50,ER/NR,400.50,400.50,400.50,Wind,Wind,Tolk - Crossroads 345 kV line,3/1/2025,,DISIS STAGE,No,,
GEN-2024-099,,DISIS-2024-001,05 SOUTHWEST,Castro,TX,SPS,12/31/2030,12/31/2031,,,300.00,300.00,300.00,ER/NR,300.00,300.00,304.00,Solar,Photovoltaic,Newhart 230 kV Substation,3/1/2025,,DISIS STAGE,No,,
GEN-2024-090,,DISIS-2024-001,03 CENTRAL,Clay ,MO,WERE,2/15/2028,3/1/2028,,,100.00,100.00,100.00,ER/NR,100.00,100.00,104.57,Battery/Storage,Battery,Smithville 161 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-088,,DISIS-2024-001,03 CENTRAL,Greene,MO,SPRM,12/18/2026,1/1/2027,,,145.00,145.00,145.00,ER/NR,145.00,145.00,145.00,Thermal,Gas,McCartney 161 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-082,,DISIS-2024-001,01 NORTH,Williams,ND,BEPC,5/1/2029,3/1/2030,,,745.00,745.00,745.00,ER,745.00,0.00,760.00,Thermal,Gas,Springbrook - Tande 345 kV Line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-081,,DISIS-2024-001,01 NORTH,Williams,ND,BEPC,4/1/2028,2/1/2029,,,745.00,745.00,745.00,ER,745.00,0.00,760.00,Thermal,Gas,Springbrook - Tande 345 kV Line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-076,,DISIS-2024-001,03 CENTRAL,Burbon,KS,WERE,10/1/2029,12/1/2029,,,130.00,130.00,130.00,ER/NR,130.00,130.00,132.00,Solar,Photovoltaic,Neosho - LaCygne 345 kV Line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-074,,DISIS-2024-001,03 CENTRAL,Jackson,MO,WERE,11/1/2028,12/1/2028,,,200.00,200.00,200.00,ER/NR,200.00,200.00,200.00,Battery/Storage,Battery,Duncan Road 161 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-071,,DISIS-2024-001,04 SOUTHEAST,Cass,TX,AEP,5/15/2027,7/1/2027,,,75.00,75.00,75.00,ER/NR,75.00,75.00,76.85,Hybrid,Solar/Storage,West Atlanta - Atlanta 69 kV Line,10/30/2024,,DISIS STAGE,No,,
GEN-2024-068,,DISIS-2024-001,04 SOUTHEAST,Morris,TX,AEP,10/2/2028,12/29/2028,,,300.00,300.00,300.00,ER/NR,300.00,300.00,318.00,Solar,Photovoltaic,Lydia - Welsh 345 kV Line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-067,,DISIS-2024-001,03 CENTRAL,Cloud,KS,ITCGP,5/1/2029,7/1/2029,,,380.00,380.00,380.00,ER/NR,380.00,380.00,386.84,Solar,Photovoltaic,Cirrus 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-065,,DISIS-2024-001,02 NEBRASKA,Dodge,NE,NPPD,8/31/2029,12/31/2029,,,150.00,150.00,150.00,ER/NR,150.00,150.00,157.10,Battery/Storage,Battery,FREMONT7 115 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-056,,DISIS-2024-001,04 SOUTHEAST,Noble,OK,OGE,8/31/2029,12/31/2029,,,120.00,120.00,120.00,ER/NR,120.00,120.00,121.82,Solar,Photovoltaic,Cow Creek - Morrison 138 kV line,10/30/2024,,DISIS STAGE,No,,
GEN-2024-055,,DISIS-2024-001,03 CENTRAL,Vernon,MO,WERE,8/31/2029,12/31/2029,,,175.00,175.00,175.00,ER/NR,175.00,175.00,177.65,Solar,Photovoltaic,Butler - Nevada 161 kV line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-054,,DISIS-2024-001,03 CENTRAL,Cooper,MO,WERE,8/31/2029,12/31/2029,,,120.00,120.00,120.00,ER/NR,120.00,120.00,128.75,Solar,Photovoltaic,Overton - Sedalia East 161 kV line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-051,,DISIS-2024-001,02 NEBRASKA,Lancaster,NE,LES,3/17/2028,5/17/2028,,,170.00,170.00,170.00,ER/NR,170.00,170.00,178.00,Battery/Storage,Battery,Waverly-Alvo 115 kV Line,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-043,,DISIS-2024-001,05 SOUTHWEST,Roosevelt,NM,SPS,9/15/2029,12/31/2029,,,250.00,250.00,250.00,ER/NR,250.00,250.00,261.00,Wind,Wind,Crossroads - Tolk 345 kV Line,10/30/2024,,DISIS STAGE,No,,
GEN-2024-042,,DISIS-2024-001,05 SOUTHWEST,Floyd,TX,SPS,10/15/2027,7/1/2028,,,250.00,250.00,250.00,ER/NR,250.00,250.00,261.00,Wind,Wind,Tuco - Whirlwind 345 kV line,10/30/2024,,DISIS STAGE,No,,
GEN-2024-041,,DISIS-2024-001,05 SOUTHWEST,Floyd,TX,SPS,10/1/2029,12/31/2029,,,250.00,250.00,250.00,ER/NR,250.00,250.00,261.00,Wind,Wind,Tuco - Whirlwind 345 kV Line,10/30/2024,,DISIS STAGE,No,,
GEN-2024-035,,DISIS-2024-001,01 NORTH,Brown,SD,BEPC,9/1/2027,12/30/2027,,,270.00,270.00,270.00,ER/NR,270.00,270.00,435.12,Hybrid,Solar/Storage,Groton 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-025,,DISIS-2024-001,04 SOUTHEAST,Bowie,TX,AEP,6/1/2030,12/31/2030,,,150.00,150.00,150.00,ER/NR,150.00,150.00,150.00,Solar,Photovoltaic,Lydia 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-023,,DISIS-2024-001,02 NEBRASKA,Gage,NE,NPPD,9/30/2030,12/31/2030,,,270.00,270.00,270.00,ER/NR,270.00,270.00,270.90,Thermal,Gas,New Beatrice Power Station 345 kV,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-022,,DISIS-2024-001,02 NEBRASKA,Gage,NE,NPPD,9/30/2030,12/31/2030,,,390.00,390.00,390.00,ER/NR,390.00,390.00,392.14,Thermal,Gas,New Beatrice Power Station 345 kV,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-021,,DISIS-2024-001,02 NEBRASKA,Lancaster,NE,NPPD,9/30/2030,12/31/2030,,,540.00,540.00,540.00,ER/NR,540.00,540.00,541.80,Thermal,Gas,Olive Creek 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-020,,DISIS-2024-001,02 NEBRASKA,Lancaster,NE,NPPD,9/30/2030,12/31/2030,,,390.00,390.00,390.00,ER/NR,390.00,390.00,392.14,Thermal,Gas,Olive Creek 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-019,,DISIS-2024-001,02 NEBRASKA,Gage,NE,NPPD,9/30/2030,12/31/2030,,,62.00,62.00,62.00,ER/NR,62.00,62.00,62.00,Thermal,Gas,New Beatrice Power Station 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-018,,DISIS-2024-001,02 NEBRASKA,Gage,NE,NPPD,9/30/2030,12/31/2030,,,31.00,31.00,31.00,ER/NR,31.00,31.00,31.00,Thermal,Gas,New Beatrice Power Station 345 kV,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-017,,DISIS-2024-001,02 NEBRASKA,Lancaster,NE,NPPD,9/30/2030,12/31/2030,,,62.00,62.00,62.00,ER/NR,62.00,62.00,62.00,Thermal,Gas,Olive Creek 345 kV Substation,10/30/2024,,DISIS STAGE,Yes,,
GEN-2024-015,,DISIS-2024-001,05 SOUTHWEST,Yoakum,TX,SPS,9/1/2028,12/1/2028,,,280.00,280.00,280.00,ER/NR,280.00,280.00,463.13,Hybrid,Solar/Storage,Sundown-Amaco-Yoakum 230 kV Substation,10/4/2024,,DISIS STAGE,No,,
GEN-2024-013,,DISIS-2024-001,04 SOUTHEAST,McClain,OK,OGE,4/1/2029,1/1/2030,,,496.00,496.00,496.00,ER/NR,496.00,496.00,496.00,Thermal,CT,Norman Hills 345 kV,8/2/2024,,DISIS STAGE,No,,
GEN-2024-003,,DISIS-2024-001,04 SOUTHEAST,Franklin,AR,AECC,9/12/2025,11/7/2025,,,102.20,102.20,102.20,ER,102.20,0.00,102.20,Thermal,CT,Fitzhugh 161kV,4/25/2024,,DISIS STAGE,No,,
GEN-2023-SR9,,Surplus,05 SOUTHWEST,Lorenzo,TX,Xcel,,6/1/2026,,,50.00,50.00,50.00,ER,0.00,0.00,0.00,Battery/Storage,,Tap Floyd County Interchange and Crosby County Interchange 115kV Line,2/13/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR8,,Surplus,05 SOUTHWEST,Gruver,TX,Xcel,,6/1/2026,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Battery/Storage,,Hitchland 345 kV Substation,2/13/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR7,,Surplus,02 NEBRASKA,Wayne Co,NE,NPPD,,12/31/2024,,,135.00,135.00,135.00,ER,0.00,0.00,0.00,Battery/Storage,,Hoskins 345 kV Substation,12/16/2022,,IA PENDING,,,
GEN-2023-SR5,,Surplus,04 SOUTHEAST,Seiling,OK,OGE,,6/1/2026,,,85.00,85.00,85.00,ER,0.00,0.00,0.00,Battery/Storage,,Tatonga 345 kV Substation,12/15/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR4,,Surplus,01 NORTH,Burke,ND,BEPC,,6/1/2026,,,170.00,170.00,170.00,ER,0.00,0.00,0.00,Battery/Storage,,Tande 345 kV Substation,12/15/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR28,,Surplus,03 CENTRAL,Ford,KS,SUNC,,4/20/2026,,,150.00,150.00,150.00,ER ,0.00,0.00,0.00,Solar,,115 kV Fort Dodge Substation,10/6/2023,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,,
GEN-2023-SR27,,Surplus,04 SOUTHEAST,Mayes County,OK,GRDA,12/1/2021,6/1/2028,,,101.50,101.50,101.50,ER,0.00,0.00,0.00,Battery/Storage,,GRDA1 to CLARMR 5 161kV line,7/12/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR26,,Surplus,04 SOUTHEAST,Mayes County,OK,AEP,12/1/2021,12/9/2024,,,72.50,72.50,72.50,ER,0.00,0.00,0.00,Battery/Storage,,Pryor Junction 138kV sub,7/12/2023,,IA PENDING,,,
GEN-2023-SR25,,Surplus,04 SOUTHEAST,Mayes County,OK,GRDA,12/1/2021,12/31/2028,,,72.50,72.50,72.50,ER,0.00,0.00,0.00,Battery/Storage,,Dry Gulch 161kV sub,7/12/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR22,,Surplus,04 SOUTHEAST,Mayes County,OK,AEP,,12/6/2024,,,124.70,124.70,124.70,ER,0.00,0.00,0.00,Battery/Storage,,Explorer Claremore Tap COOYYAH4,6/20/2023,,IA PENDING,,,
GEN-2023-SR20,,Surplus,04 SOUTHEAST,Custer/Wasita,OK,AEP,,6/1/2025,,,120.00,120.00,120.00,ER,0.00,0.00,0.00,Battery/Storage,,Weatherford 138 kV Substation,6/21/2023,,IA PENDING,,,
GEN-2023-SR19,,Surplus,02 NEBRASKA,Jefferson County,NE,NPPD,,11/1/2027,,,50.00,50.00,50.00,ER,0.00,0.00,0.00,Battery/Storage,,Steele City 115 kV,6/21/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR18,,Surplus,04 SOUTHEAST,Grady County,OK,OGE,,4/15/2025,,,80.00,80.00,80.00,ER,0.00,0.00,0.00,Battery/Storage,,Minco 345 kV,6/20/2023,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,,
GEN-2023-SR16,,Surplus,04 SOUTHEAST,Woodward and Harper Counties,OK,OG&E,,6/1/2025,,,70.00,70.00,70.00,ER,0.00,0.00,0.00,Battery/Storage,,Tap Mooreland to Woodward 138 kV Line (FPLSwitch 138 kV Substation),4/26/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR13,,Surplus,04 SOUTHEAST,Garfield County,OK,OG&E,,4/15/2025,,,70.00,70.00,70.00,ER,0.00,0.00,0.00,Battery/Storage,,Breckinridge 138 kV Substation,1/26/2023,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,,
GEN-2023-SR12,,Surplus,05 SOUTHWEST,Whiteface,TX,Xcel,,9/30/2025,,,120.00,120.00,120.00,ER,0.00,0.00,0.00,Battery/Storage,,Tap Cochran to Lehman 115 kV Line,2/13/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-SR1,,Surplus,02 NEBRASKA,Brown,NE,NPPD,10/1/2005,6/21/2024,,,21.90,21.90,21.90,ER/NR,0.00,0.00,0.00,Thermal,,Ainsworth Wind 115 kV,12/5/2022,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-GR5,,Replacement,05 SOUTHWEST,Lamb County,TX,Xcel/SPS,,4/1/2026,8/11/2022,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Solar,,Plant X 115 kV Substation,7/18/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-GR4,,Replacement,05 SOUTHWEST,Lea County,NM,Xcel/SPS,,5/1/2026,7/13/2022,,72.00,72.00,72.00,ER,0.00,0.00,0.00,Solar,,Cunningham 115kV,7/5/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-GR3,,Replacement,05 SOUTHWEST,Quay County,NM,Xcel/SPS,12/1/2004,12/27/2024,9/16/2024,12/31/2004,80.00,80.00,80.00,ER/NR,0.00,0.00,0.00,Wind,,Norton 115 kV,6/30/2023,,IA FULLY EXECUTED/COMMERCIAL OPERATION,,,
GEN-2023-GR2,,Replacement,04 SOUTHEAST,Oklahoma City,OK,OG&E,,5/1/2026,4/1/2026,,94.24,84.93,94.24,ER,0.00,0.00,0.00,Thermal,Gas,Tinker Air Force Base 138kV,2/17/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-GR1,,Replacement,04 SOUTHEAST,Anadarko,OK,WFEC,,12/1/2025,11/30/2025,,97.49,97.49,95.64,ER,0.00,0.00,0.00,Thermal,Gas,Anadarko Power Plant 69 kV,1/9/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-241,,DISIS-2023-001,04 SOUTHEAST,Franklin & Wood,TX,AEP,8/28/2027,4/19/2029,,,93.00,93.00,93.00,ER,0.00,0.00,0.00,Solar,,Winnsboro 138 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-230,,DISIS-2023-001,04 SOUTHEAST,Bossier,LA,AEP,2/4/2028,11/19/2028,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Red Pointe 138 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-229,,DISIS-2023-001,04 SOUTHEAST,Caddo,OK,AEP,4/1/2028,4/30/2029,,,230.00,230.00,230.00,ER/NR,0.00,0.00,0.00,Wind,,Southwestern Power Station 138 kV Substation (SWS4),10/2/2023,,IA PENDING,,,
GEN-2023-225,,DISIS-2023-001,02 NEBRASKA,Lancaster,NE,NPPD,3/1/2027,6/1/2029,,,217.00,217.00,217.00,ER,0.00,0.00,0.00,Thermal,RICE,Olive Creek 345 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-224,,DISIS-2023-001,02 NEBRASKA,Lancaster,NE,NPPD,3/1/2027,6/1/2029,,,478.00,478.00,478.00,ER,0.00,0.00,0.00,Thermal,CTG,Olive Creek 345 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-223,,DISIS-2023-001,02 NEBRASKA,Gage ,NE,NPPD,3/1/2027,6/1/2033,,,239.00,239.00,239.00,ER/NR,0.00,0.00,0.00,Thermal,CTG,New Beatrice Power Station 345 kV,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-222,,DISIS-2023-001,02 NEBRASKA,Gage,NE,NPPD,3/1/2027,6/1/2033,,,478.00,478.00,478.00,ER/NR,0.00,0.00,0.00,Thermal,CTG,New Beatrice Power Station 345 kV,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-221,,DISIS-2023-001,03 CENTRAL,Osage,KS,WERE,9/1/2029,12/1/2029,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Solar,,Emporia Energy Center - Swissvale 345 kV Line,10/2/2023,,FACILITY STUDY STAGE,,,
GEN-2023-220,,DISIS-2023-001,03 CENTRAL,Osage,KS,WERE,8/1/2029,12/1/2029,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Solar,,Emporia Energy Center - Swissvale 345 kV Line,10/2/2023,,FACILITY STUDY STAGE,,,
GEN-2023-210,,DISIS-2023-001,04 SOUTHEAST,Lincoln,OK,WFEC,5/4/2026,9/1/2026,,,191.00,191.00,191.00,ER/NR,0.00,0.00,0.00,Solar,,Prague - Chernicky 138 kV Line,10/2/2023,,IA PENDING,,,
GEN-2023-206,,DISIS-2023-001,04 SOUTHEAST,Sebastian,AR,OGE,1/1/2029,12/31/2029,,,50.00,50.00,50.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Battlefield BESS 161 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-205,,DISIS-2023-001,04 SOUTHEAST,Hughes,OK,AEP,7/1/2026,12/31/2028,,,180.00,180.00,180.00,ER/NR,0.00,0.00,0.00,Solar,,McAlester City - Weleetka 138 kV line,10/2/2023,,IA PENDING,,,
GEN-2023-204,,DISIS-2023-001,04 SOUTHEAST,Morris,TX,AEP,4/1/2028,12/1/2028,,,914.60,960.00,960.00,ER,0.00,0.00,0.00,Thermal,CTG,Welsh-Lydia 345kV Line ,10/2/2023,,IA PENDING,,,
GEN-2023-199,,DISIS-2023-001,02 NEBRASKA,Dakota ,NE,NPPD,3/1/2030,11/1/2030,,,250.00,250.00,250.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Twin Church 230 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-193,,DISIS-2023-001,04 SOUTHEAST,Harrison,TX,AEP,1/15/2028,3/31/2028,,,175.00,175.00,175.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Pirkey - Whitney 138 kV Line,10/2/2023,,IA PENDING,,,
GEN-2023-177,,DISIS-2023-001,04 SOUTHEAST,Garvin,OK,OGE,2/1/2028,9/1/2029,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Solar,,Paoli - Seminole 138 kV line tap,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-173,,DISIS-2023-001,03 CENTRAL,Kearny,KS,SUNC,9/1/2027,12/31/2029,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Wind,,Holcomb 345 kV ,10/2/2023,,IA PENDING,,,
GEN-2023-172,,DISIS-2023-001,03 CENTRAL,Kearny,KS,SUNC,9/1/2027,12/31/2029,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Wind,,Holcomb 345 kV ,10/2/2023,,IA PENDING,,,
GEN-2023-171,,DISIS-2023-001,03 CENTRAL,Jackson,MO,INDN,2/1/2028,6/1/2028,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Sub M 161 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-170,,DISIS-2023-001,03 CENTRAL,Chariton,MO,WERE,2/1/2028,6/1/2028,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Battery/Storage,,Salisbury 161 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-161,,DISIS-2023-001,04 SOUTHEAST,Blaine,OK,OGE,9/3/2026,10/2/2027,,,74.90,74.90,74.90,ER/NR,0.00,0.00,0.00,Battery/Storage,,Roman Nose 138 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-153,,DISIS-2023-001,02 NEBRASKA,Perkins,NE,Tri-State,6/30/2028,11/1/2029,,,120.00,120.00,120.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Grant 115 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-135,,DISIS-2023-001,04 SOUTHEAST,Bowie,TX,AEP,9/15/2026,12/31/2026,,,52.00,52.00,52.00,ER/NR,0.00,0.00,0.00,Solar,,Lydia 345kV substation,10/2/2023,,IA PENDING,,,
GEN-2023-132,,DISIS-2023-001,04 SOUTHEAST,Craighead,AR,SWPA,6/30/2026,12/31/2028,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Solar,,Jonesboro - Independence 161 kV ,10/2/2023,,IA PENDING,,,
GEN-2023-120,,DISIS-2023-001,05 SOUTHWEST,Swisher,TX,SPS,8/30/2030,12/31/2030,,,130.00,130.00,130.00,ER,0.00,0.00,0.00,Solar,,Kress 115 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-107,,DISIS-2023-001,03 CENTRAL,Finney/Kearny,KS,SUNC,5/1/2030,12/31/2030,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Wind,,Setab 345 kV ,10/2/2023,,FACILITY STUDY STAGE,,,
GEN-2023-104,,DISIS-2023-001,04 SOUTHEAST,Woods,OK,WFEC,8/30/2027,9/30/2028,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Mooreland - Noel 138 kV Line,10/2/2023,,IA PENDING,,,
GEN-2023-102,,DISIS-2023-001,04 SOUTHEAST,Woods,OK,OGE,8/30/2027,3/1/2029,,,475.00,475.00,475.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Degrasse 345 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-099,,DISIS-2023-001,03 CENTRAL,Jackson,KS,WERE,8/30/2030,12/31/2030,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Solar,,Jeffery Energy Center 345 kV Substation,10/2/2023,,IA PENDING,,,
GEN-2023-092,,DISIS-2023-001,04 SOUTHEAST,Choctaw,OK,WFEC,8/30/2027,9/30/2028,,,125.00,125.00,125.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Unger - Frogville 138 kV line,10/2/2023,,IA PENDING,,,
GEN-2023-088,,DISIS-2023-001,04 SOUTHEAST,Okfuskee/Okmulgee,OK,WFEC,9/15/2028,9/29/2028,,,117.00,117.00,117.00,ER/NR,0.00,0.00,0.00,Wind,,Pharaoh 138 kV Substation,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-079,,DISIS-2023-001,02 NEBRASKA,Cass,NE,OPPD,7/1/2028,2/1/2032,,,272.70,258.00,303.00,ER,0.00,0.00,0.00,Thermal,Gas Turbine,Substation 3740 345 kV,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-078,,DISIS-2023-001,02 NEBRASKA,Cass,NE,OPPD,7/1/2027,9/22/2028,,,255.00,235.00,255.00,ER,0.00,0.00,0.00,Thermal,Gas Turbine,Substation 3740 345 kV,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-077,,DISIS-2023-001,02 NEBRASKA,Cass,NE,OPPD,7/1/2027,9/22/2028,,,255.00,235.00,255.00,ER,0.00,0.00,0.00,Thermal,Gas Turbine,Substation 3740 345 kV,10/2/2023,,IA FULLY EXECUTED/ON SCHEDULE,,,
GEN-2023-069,,DISIS-2023-001,04 SOUTHEAST,Atoka,OK,WFEC,8/30/2027,9/30/2028,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Hybrid,Solar/Storage,Tupelo - Atoka 138 kV Line,10/2/2023,,IA PENDING,,,
