Project ID,Cycle,Stage,Name,Commercial Name,Developer,State,County,Status,Project Type,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Fuel,Submitted Date,Requested In-Service Date,Actual In-Service Date,Commercial Operation Milestone,Backfeed Date,Test Energy Date,Last Updated,Withdrawn Date,Withdrawn Remarks,Phase 1 SIS Report,Phase 1 SIS Report Status,Phase 2 SIS Report,Phase 2 SIS Report Status,Phase 3 SIS Report,Phase 3 SIS Report Status,Final SIS Report,Final SIS Report Status,EPA/GIA/WMPA Report,EPA/GIA/WMPA Report Status,CSA/USCA Report,CSA/USCA Report Status,Transmission Type,Rights (MW),TSR ID,TSR Start Date,TSR End Date,LTF MW
AH1-327,TC2,PHASE 2,Hardin Switch 345 kV,,Hardin Solar Energy III LLC,OH,Hardin,Active,Generation Interconnection,AEP,250.00,0.00,8.44,,Capacity,Solar,9/10/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-327/AH1-327_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-327/AH1-327_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-539,TC2,Decision Point 1,South Kenton 138 kV,,"Riverlake Energy, LLC",OH,Hardin,Withdrawn,Generation Interconnection,AEP,129.40,129.40,25.88,0.00,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",9/10/2021,3/1/2028,,,,,,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-539/AH1-539_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-767,TC2,RRI APPLICATION REVIEW,,,"RWE Solar Development, LLC",OH,Hardin,Withdrawn,Generation Interconnection,AEP,140.00,140.00,140.00,,Capacity,Storage,,8/31/2028,,,,,5/5/2025,5/2/2025,Queue Not Required,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-724,TC2,RRI APPLICATION REVIEW,Nottingham 138 kV,,Pogona Power LLC,OH,Harrison,Withdrawn,Generation Interconnection,AEP,650.00,650.00,650.00,,Capacity,Natural Gas,,5/1/2030,,,,,5/5/2025,5/2/2025,Queue Not Required,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-580,TC2,PHASE 2,Nottingham 138 kV,,"Energy Pastures Solar Project, LLC",OH,Harrison,Active,Generation Interconnection,AEP,400.00,200.00,134.00,,Capacity,Solar,9/10/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-580/AH1-580_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-580/AH1-580_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-082,TC2,PHASE 2,Nottingham 138 kV,,"Energy Pastures Solar Project, LLC",OH,Harrison,Active,Generation Interconnection,AEP,200.00,200.00,133.40,,Capacity,Solar,1/22/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-082/AG2-082_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-082/AG2-082_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-336,TC2,PHASE 1,Midway 138 kV,,Reserve Energy Exploration Company,OH,Henry,Withdrawn,Generation Interconnection,ATSI,80.00,80.00,48.00,,Capacity,Solar,3/25/2021,11/30/2023,,,,,10/31/2025,7/1/2025,Customer Initiated Withdrawal,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-337,TC2,PHASE 1,Midway 138 kV II,,Reserve Energy Exploration Company,OH,Henry,Withdrawn,Generation Interconnection,ATSI,100.00,20.00,12.00,,Capacity,Solar,3/25/2021,11/30/2023,,,,,10/31/2025,7/1/2025,Customer Initiated Withdrawal,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-319,TC1,PHASE 1,Napoleon Muni 138 kV,,CG Henry County LLC,OH,Henry,Withdrawn,Generation Interconnection,AMPT,105.00,65.00,39.00,,Capacity,Solar,9/30/2020,11/1/2022,,,,,1/27/2025,1/22/2025,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-319/AG1-319_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-319/AG1-319_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-456,TC1,PHASE 1,Wildcat 138 kV,,"Willowbrook Solar I, LLC",OH,Highland,Withdrawn,Generation Interconnection,AEP,180.00,30.00,30.00,,Capacity,Storage,9/30/2020,12/31/2022,,,,,6/24/2024,6/21/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-456/AG1-456_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-537,TC2,PHASE 2,Pierce - Kyger Creek 345 kV,,"Riverlake Energy, LLC",OH,Highland,Active,Generation Interconnection,OVEC,178.50,178.50,17.85,,Capacity,Solar,9/11/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-537/AH1-537_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-537/AH1-537_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-766,TC2,RRI APPLICATION REVIEW,,,"NextEra Energy Resources Interconnection Holdings, LLC",OH,Highland,Withdrawn,Generation Interconnection,AEP,205.00,205.00,205.00,,Capacity,Storage,,5/31/2029,,,,,5/5/2025,5/2/2025,Queue Not Required,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-094,TC2,PHASE 1,Wells - Shinrock 69 kV I,Norwalk Solar I,"Norwalk Solar, LLC",OH,Huron,Withdrawn,Generation Interconnection,ATSI,49.90,49.90,29.94,,Capacity,"Solar,Storage,Hybrid",7/30/2021,6/1/2025,,,,,10/31/2025,7/1/2025,Customer Initiated Withdrawal,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-109,TC2,PHASE 2,Fitchville-New London 69 kV,,"Rosemary Solar, LLC",OH,Huron,Active,Generation Interconnection,ATSI,40.00,40.00,28.10,,Capacity,Solar,1/29/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-109/AG2-109_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-109/AG2-109_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-548,TC2,PHASE 2,Corwin - Elk 138 kV,,Hamden Energy LLC,OH,Jackson,Active,Generation Interconnection,AEP,80.00,80.00,54.00,,Capacity,"Solar,Storage,Hybrid",3/31/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-548/AG2-548_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-548/AG2-548_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-055,TC2,PHASE 2,Kyger Creek - Don Marquis 345 kV,,"Furnace Solar, LLC",OH,Jackson,Active,Generation Interconnection,OVEC,220.00,220.00,154.00,,Capacity,Solar,7/14/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-055/AH1-055_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-055/AH1-055_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-665,TC2,PHASE 2,Corwin - Elk 138 kV,,Hamden Energy LLC,OH,Jackson,Active,Generation Interconnection,AEP,160.00,80.00,54.00,,Capacity,"Solar,Storage,Hybrid",3/31/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-665/AG2-665_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-665/AG2-665_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-059,TC2,PHASE 2,Sharp Road 69 kV,,"Frasier Solar, LLC",OH,Knox,Active,Generation Interconnection,AEP,101.00,21.00,12.60,,Capacity,Solar,7/16/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-059/AH1-059_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-059/AH1-059_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-686,TC2,PHASE 2,Hanging Rock 765 kV,,Hanging Rock Power Company LLC,OH,Lawrence,Active,Generation Interconnection,AEP,1364.00,24.00,21.00,,Capacity,Natural Gas,4/3/2025,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-686/AH1-686_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-686/AH1-686_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-325,TC2,PHASE 1,Kirk 138 kV,,Invenergy Storage Development LLC,OH,Licking,Withdrawn,Generation Interconnection,AEP,50.00,50.00,50.00,,Capacity,Storage,9/9/2021,12/31/2025,,,,,10/31/2025,7/3/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-325/AH1-325_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
