Project ID,Cycle,Stage,Name,Commercial Name,Developer,State,County,Status,Project Type,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Fuel,Submitted Date,Requested In-Service Date,Actual In-Service Date,Commercial Operation Milestone,Backfeed Date,Test Energy Date,Last Updated,Withdrawn Date,Withdrawn Remarks,Phase 1 SIS Report,Phase 1 SIS Report Status,Phase 2 SIS Report,Phase 2 SIS Report Status,Phase 3 SIS Report,Phase 3 SIS Report Status,Final SIS Report,Final SIS Report Status,EPA/GIA/WMPA Report,EPA/GIA/WMPA Report Status,CSA/USCA Report,CSA/USCA Report Status,Transmission Type,Rights (MW),TSR ID,TSR Start Date,TSR End Date,LTF MW
AH1-563,TC2,PHASE 2,Aurora E.C. 138kV,Aurora Battery Storage II,"Aurora Generation, LLC",IL,,Active,Generation Interconnection,ComEd,1206.00,150.00,150.00,,Capacity,Storage,9/11/2021,6/1/2029,,,,,6/2/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-563/AH1-563_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-563/AH1-563_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-344,TC2,Decision Point 1,Dequine 345 bkV,,Rainbow Trout Solar LLC,IN,Not Specified,Withdrawn,Generation Interconnection,AEP,100.00,100.00,78.00,0.00,CAPACITY_RESOURCE,Storage,3/26/2021,12/31/2028,,,,,,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-344/AG2-344_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-344/AG2-344_imp_PHASE_2.htm,Posted,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-570,TC2,PHASE 2,Millersburg 69 kV,,"South Fork Solar, LLC",KY,,Active,Generation Interconnection,EKPC,25.00,25.00,15.60,,Capacity,Solar,9/10/2021,,,,,,5/28/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-570/AH1-570_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-570/AH2-570_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-571,TC2,PHASE 2,Millersburg 69 kV,,"South Fork Solar, LLC",KY,,Active,Generation Interconnection,EKPC,45.00,20.00,12.50,,Capacity,Solar,9/10/2021,,,,,,5/28/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-571/AH1-571_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-571/AH1-571_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-617,TC2,PHASE 2,Harbert Metering 138 kV,,"STMO bn, LLC",KY,,Active,Generation Interconnection,AEP,200.00,200.00,120.00,,Capacity,Solar,9/10/2021,12/31/2028,,,,,6/4/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-617/AH1-617_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-617/AH1-617_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-644,TC2,Decision Point 1,Spicewood Metering 138 kV,,Kentucky Power Company,KY,Not Specified,Withdrawn,Generation Interconnection,AEP,100.00,100.00,65.00,0.00,CAPACITY_RESOURCE,Solar,9/15/2021,6/1/2030,,,,,10/15/2025,12/1/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-644/AH1-644_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-427,TC2,Decision Point 1,Tommy Gooch - Garrard County 69 kV,,"ACE Development Company, LLC",KY,Not Specified,Withdrawn,Generation Interconnection,EKPC,100.00,100.00,60.00,0.00,CAPACITY_RESOURCE,Solar,9/10/2021,4/1/2028,,,,,,11/26/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-427/AH1-427_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-136,TC2,Decision Point 1,Falcon - Middle Creek 46 kV,,"Big Sandy Renewables, LLC",KY,Not Specified,Withdrawn,Generation Interconnection,AEP,20.00,20.00,12.00,0.00,CAPACITY_RESOURCE,Solar,8/25/2021,12/1/2026,,,,,8/21/2025,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-136/AH1-136_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-163,TC2,APPLICATION REVIEW,Millersburg 69 kV,,"Derby Solar Farm, LLC ",KY,,Withdrawn,Generation Interconnection,EKPC,100.00,100.00,60.00,,Capacity,Solar,9/1/2021,7/31/2025,,,,,1/28/2025,1/28/2025,Customer Initiated Withdrawal,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-721,TC2,PHASE 2,Laurel-Cooper 161 kV,,"East Kentucky Power Cooperative, Inc.",KY,,Active,Generation Interconnection,EKPC,786.00,786.00,758.95,,Capacity,Natural Gas,4/2/2025,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-721/AH1-721_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-721/AH1-721_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-749,TC2,RRI APPLICATION REVIEW,,,"East Kentucky Power Cooperative, Inc.",KY,,Withdrawn,Generation Interconnection,EKPC,216.00,216.00,216.00,,Capacity,Natural Gas,,12/12/2028,,,,,5/5/2025,5/2/2025,Queue Not Required,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-189,TC2,PHASE 1,Hopkins 138 kV,,"Hobet Solar I,  LLC",WV,,Withdrawn,Generation Interconnection,AEP,140.00,140.00,84.00,,Capacity,Solar,8/31/2021,6/1/2025,,,,,10/31/2025,7/3/2025,Customer Initiated Withdrawal,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-466,TC2,PHASE 1,Culloden - Wyoming 765 kV,,"Hobet Solar I,  LLC",WV,,Withdrawn,Generation Interconnection,AEP,330.00,330.00,198.00,,Capacity,Solar,3/30/2021,6/30/2024,,,,,10/31/2025,7/3/2025,Customer Initiated Withdrawal,,Not Specified,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-509,TC2,APPLICATION REVIEW,Robinson 69 kV,,IRGAH Renewables Development LLC,WV,,Withdrawn,Generation Interconnection,AEP,55.00,55.00,36.30,,Capacity,"Solar,Storage,Hybrid",3/31/2021,6/1/2024,,,,,3/4/2025,3/4/2025,Customer Initiated Withdrawal,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-568,TC2,PHASE 2,Stink Run - Sundial 138 kV,,"Sundial Energy, LLC",WV,,Active,Generation Interconnection,AEP,80.00,80.00,48.00,,Capacity,Solar,3/31/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-568/AG2-568_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-568/AG2-568_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-447,TC2,PHASE 2,Cedar Creek 138 kV VII,,Freepoint Solar LLC,DE,New Castle,Active,Generation Interconnection,DPL,134.25,20.00,12.00,,Capacity,Solar,3/30/2021,,,,,,5/14/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-447/AG2-447_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AG2-447/AG2-447_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-761,TC2,RRI APPLICATION REVIEW,,,Freepoint Solar LLC,DE,New Castle,Withdrawn,Generation Interconnection,DPL,134.30,0.00,71.00,,Capacity,Storage,,4/30/2029,,,,,5/5/2025,5/2/2025,Queue Not Required,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-760,TC2,RRI APPLICATION REVIEW,,,Freepoint Solar LLC,DE,Kent,Withdrawn,Generation Interconnection,DPL,50.00,0.00,31.00,,Capacity,Storage,,10/31/2028,,,,,5/5/2025,5/2/2025,Queue Not Required,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-027,TC2,Decision Point 1,Cartanza 230 kV,,"Calpine Mid-Atlantic Development, LLC",DE,Kent,Withdrawn,Generation Interconnection,DPL,25.00,25.00,15.00,0.00,CAPACITY_RESOURCE,Solar,5/20/2021,5/1/2027,,,,,,12/1/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-027/AH1-027_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AG1-497,TC1,PHASE 2,Cartanza 230 kV,,"Morgan Branch Solar I, LLC",DE,Kent,Withdrawn,Generation Interconnection,DPL,120.00,120.00,84.00,,Capacity,"Solar,Storage,Hybrid",9/30/2020,6/30/2023,,,,,1/24/2025,1/22/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-497/AG1-497_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-497/AG1-497_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-061,TC1,PHASE 1,Laurel-Sharptown 69 kV,,Deere Acres Solar LLC,DE,Sussex,Withdrawn,Generation Interconnection,DPL,109.30,109.30,65.58,,Capacity,Solar,7/29/2020,12/31/2021,,,,,6/27/2024,6/25/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-061/AG1-061_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AF2-193,TC1,PHASE 1,Indian River 230 kV I,,"GSOE I, LLC",DE,Sussex,Withdrawn,Generation Interconnection,DPL,440.00,440.00,119.00,,Capacity,Offshore Wind,3/23/2020,10/31/2026,,,,,6/24/2024,6/21/2024,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-193/AF2-193_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AF2-194,TC1,PHASE 1,Indian River 230 kV II,,"GSOE I, LLC",DE,Sussex,Withdrawn,Generation Interconnection,DPL,880.00,440.00,119.00,,Capacity,Offshore Wind,3/23/2020,10/31/2026,,,,,6/24/2024,6/21/2024,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-194/AF2-194_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-347,TC2,Decision Point 1,Indian River 230 kV II,,"US Wind, Inc",DE,Sussex,Withdrawn,Generation Interconnection,DPL,448.80,448.80,121.20,0.00,CAPACITY_RESOURCE,Wind,3/26/2021,12/31/2030,,,,,,11/21/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-347/AG2-347_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AG2-348,TC2,APPLICATION REVIEW,Indian River 230 kV II,,US Wind Inc.,DE,Sussex,Withdrawn,Generation Interconnection,DPL,897.60,897.60,242.30,,Capacity,Offshore Wind,3/26/2021,8/31/2025,,,,,4/1/2025,2/25/2025,Customer Initiated Withdrawal,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-672,TC2,PHASE 2,Farmview 138 kV,,"TerraForm Freeman Solar, LLC",DE,Sussex,Active,Generation Interconnection,DPL,75.00,75.00,48.90,,Capacity,Solar,9/30/2020,,,,,,5/14/2026,,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-672/AH1-672_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-672/AH1-672_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-634,TC2,Decision Point 1,Indian River 230kV I,,"US Wind, Inc",DE,Sussex,Withdrawn,Generation Interconnection,DPL,323.10,68.00,17.70,0.00,CAPACITY_RESOURCE,Wind,9/13/2021,12/31/2027,,,,,,11/21/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-634/AH1-634_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-584,TC2,Decision Point 1,Nelson-Indian River 138kV,,"RWE Solar Development, LLC",DE,Sussex,Withdrawn,Generation Interconnection,DPL,50.00,50.00,30.00,0.00,CAPACITY_RESOURCE,Solar,9/10/2021,10/31/2028,,,,,,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-584/AH1-584_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-585,TC2,Decision Point 1,Nelson-Indian River 138kV,,"RWE Solar Development, LLC",DE,Sussex,Withdrawn,Generation Interconnection,DPL,100.00,50.00,30.00,0.00,CAPACITY_RESOURCE,Solar,9/10/2021,10/31/2028,,,,,,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-585/AH1-585_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AH1-586,TC2,Decision Point 1,Nelson-Indian River 138kV,,"RWE Solar Development, LLC",DE,Sussex,Withdrawn,Generation Interconnection,DPL,145.00,45.00,45.00,0.00,CAPACITY_RESOURCE,Storage,9/10/2021,10/31/2028,,,,,,12/2/2025,CIW,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-586/AH1-586_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AF2-393,TC1,PHASE 2,Nelson-Dixon 138 kV,,"Bison Meadows Wind Project, LLC",IL,Adams,Withdrawn,Generation Interconnection,ComEd,259.00,60.00,55.00,,Capacity,Storage,3/31/2020,9/1/2024,,,,,1/27/2025,1/22/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-393/AF2-393_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AF2-393/AF2-393_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AF2-394,TC1,PHASE 2,Nelson-Dixon 138 kV,,"Bison Meadows Wind Project, LLC",IL,Adams,Withdrawn,Generation Interconnection,ComEd,299.00,40.00,40.00,,Capacity,Storage,3/31/2020,9/1/2024,,,,,1/27/2025,1/22/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-394/AF2-394_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AF2-394/AF2-394_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-047,TC2,Decision Point 1,Marengo - Belvidere 138 kV,,BLUE STONE RENEWABLE XIV LLC,IL,Boone,Withdrawn,Generation Interconnection,ComEd,58.60,58.60,37.00,0.00,CAPACITY_RESOURCE,Solar,7/6/2021,12/12/2028,,,,,8/1/2025,12/3/2025,CMN,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-047/AH1-047_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AF2-069,TC1,PHASE 3,Crescent Ridge 138 kV,Lone Tree Wind Farm ,"Lone Tree Wind, LLC",IL,Bureau,Withdrawn,Generation Interconnection,ComEd,87.80,8.40,1.98,,Capacity,Wind,1/31/2020,10/4/2021,,,,,11/4/2025,11/3/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-069/AF2-069_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AF2-069/AF2-069_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AF2-069/AF2-069_imp_PHASE_3.htm,Posted,,Not Started,,Not Started,,Not Started,,,,,,
AF2-070,TC1,PHASE 2,Crescent Ridge 138 kV,,Crescent Ridge LLC,IL,Bureau,Withdrawn,Generation Interconnection,ComEd,72.60,18.15,3.10,,Capacity,Wind,1/31/2020,10/4/2021,,,,,1/27/2025,1/22/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-070/AF2-070_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AF2-070/AF2-070_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-121,TC1,PHASE 1,Kewanee-Streator 138 kV,,"Leeward Renewable Energy Development, LLC",IL,Bureau,Withdrawn,Generation Interconnection,ComEd,294.70,294.70,51.90,,Capacity,Wind,8/31/2020,12/31/2024,,,,,6/27/2024,6/24/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-121/AG1-121_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-435,TC1,DP2,Kewanee-Hennepin 138 kV,,"RWE Clean Energy Development, LLC",IL,Bureau,Withdrawn,Generation Interconnection,ComEd,150.00,150.00,35.20,,Capacity,Wind,9/30/2020,12/31/2023,,,,,9/22/2025,2/21/2025,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-435/AG1-435_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-435/AG1-435_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG1-460,TC1,FINAL AGREEMENT,Kincaid-Pana 345 kV,Black Diamond Solar,"Black Diamond Solar Power, LLC",IL,Christian,EP,Generation Interconnection,ComEd,329.00,30.00,12.00,,Capacity,Storage,9/30/2020,12/15/2030,,12/15/2030,10/15/2030,10/29/2030,5/5/2026,,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-460/AG1-460_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-460/AG1-460_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AG1-460/AG1-460_imp_PHASE_3.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/FINAL/AG1-460/AG1-460_imp_FINAL.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/gia/ag1_460_gia.pdf,Posted,,Not Started,,,,,,
AE2-261,TC1,FINAL AGREEMENT,Kincaid-Pana 345 kV,Black Diamond Solar,"Black Diamond Solar Power, LLC",IL,Christian,EP,Generation Interconnection,ComEd,299.00,299.00,179.40,,Capacity,Solar,3/28/2019,12/15/2030,,12/15/2030,10/15/2030,10/29/2030,2/6/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AE2-261/AE2-261_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AE2-261/AE2-261_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AE2-261/AE2-261_imp_PHASE_3.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/FINAL/AE2-261/AE2-261_imp_FINAL.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/gia/ae2_261_gia.pdf,Posted,,Not Started,,,,,,
AF1-252,TC1,PHASE 1,Kincaid-Pana,,"Rolling Farms Wind Project, LLC",IL,Christian,Withdrawn,Generation Interconnection,ComEd,262.40,62.40,62.40,,Capacity,Storage,9/30/2019,9/1/2022,,,,,6/24/2024,6/24/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF1-252/AF1-252_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AF1-253,TC1,PHASE 1,Kincaid-Pana,,"Rolling Farms Wind Project, LLC",IL,Christian,Withdrawn,Generation Interconnection,ComEd,305.60,43.20,43.20,,Capacity,Storage,9/30/2019,9/1/2022,,,,,6/24/2024,6/24/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF1-253/AF1-253_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AF2-441,TC1,FINAL AGREEMENT,Burnham 138kV,Riverbank Energy,"Lincoln Reserve Energy, LLC",IL,Cook,EP,Generation Interconnection,ComEd,200.00,200.00,80.00,,Capacity,Storage,3/31/2020,5/31/2030,,5/31/2030,,,2/4/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AF2-441/AF2-441_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AF2-441/AF2-441_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AF2-441/AF2-441_imp_PHASE_3.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/FINAL/AF2-441/AF2-441_imp_FINAL.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/gia/af2_441_gia.pdf,Posted,,Not Started,,,,,,
AG1-298,TC1,PHASE 2,Calumet-Burnham 345 kV,,Big Shoulders Storage LLC,IL,Cook,Withdrawn,Generation Interconnection,ComEd,500.00,500.00,500.00,,Capacity,Storage,9/29/2020,6/1/2023,,,,,1/27/2025,1/22/2025,Customer Initiated Withdrawal,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-298/AG1-298_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-298/AG1-298_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AH1-673,TC2,PHASE 2,State Line - River Energy Center 138 kV,,Big Shoulders Storage LLC,IL,Cook,Active,Generation Interconnection,ComEd,85.00,85.00,85.00,,Capacity,Storage,9/30/2020,,,,,,5/14/2026,,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AH1-673/AH1-673_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_2/AH1-673/AH1-673_imp_PHASE_2.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
AG2-575,TC2,Decision Point 1,Crego Rd. 138 kV,,"Red Maple Solar, LLC",IL,DeKalb,Withdrawn,Generation Interconnection,ComEd,290.00,100.00,80.00,0.00,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",3/31/2021,5/11/2029,,,,,11/24/2025,12/4/2025,CMN,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC2/PHASE_1/AG2-575/AG2-575_imp_PHASE_1.htm,Posted,,Not Required,,Not Required,,Not Required,,Not Started,,Not Started,,,,,,
AG1-127,TC1,FINAL AGREEMENT,Crego Rd 138 kV,Red Maple Solar,"Red Maple Solar, LLC",IL,DeKalb,EP,Generation Interconnection,ComEd,190.00,95.10,57.10,,Capacity,Solar,8/31/2020,5/31/2028,,5/31/2028,11/8/2027,11/22/2027,4/13/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-127/AG1-127_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-127/AG1-127_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AG1-127/AG1-127_imp_PHASE_3.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/FINAL/AG1-127/AG1-127_imp_FINAL.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/gia/ag1_127_gia.pdf,Posted,,Not Started,,,,,,
AG1-118,TC1,FINAL AGREEMENT,Sugar Grove-Waterman 138kV,Burr Oak Solar,"Leeward Renewable Energy Development, LLC",IL,DeKalb,EP,Generation Interconnection,ComEd,300.00,300.00,180.00,,Capacity,Solar,8/31/2020,3/21/2030,,3/21/2030,,,5/1/2026,,,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-118/AG1-118_imp_PHASE_1.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_2/AG1-118/AG1-118_imp_PHASE_2.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_3/AG1-118/AG1-118_imp_PHASE_3.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/FINAL/AG1-118/AG1-118_imp_FINAL.htm,Posted,https://www.pjm.com//pjmfiles/pub/planning/project-queues/gia/ag1_118_gia.pdf,Posted,,Not Started,,,,,,
AG1-119,TC1,PHASE 1,Wayne-Byron 345 kV,,"Leeward Renewable Energy Development, LLC",IL,DeKalb,Withdrawn,Generation Interconnection,ComEd,300.00,300.00,180.00,,Capacity,Solar,8/31/2020,12/29/2023,,,,,6/27/2024,6/24/2024,Customer Milestone Not Met,https://www.pjm.com//pjmfiles/pub/planning/project-queues/TC1/PHASE_1/AG1-119/AG1-119_imp_PHASE_1.htm,Posted,,Not Started,,Not Started,,Not Started,,Not Started,,Not Started,,,,,,
