Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type
AH1-098,PJM,2021-07-30,Active,,,TC2,PHASE 2,Wolf Glade-West Carroll 138 kV,AEP,24.00,Hybrid
AG2-603,PJM,2021-03-31,Withdrawn,2025-06-09,2024-10-31,TC2,PHASE 1,Huffman 138 kV,AEP,77.00,Hybrid
AG2-639,PJM,2021-03-31,Withdrawn,2025-07-03,2025-04-01,TC2,PHASE 1,Chickahominy 230 kV,Dominion,20.00,Storage
AH1-042,PJM,2021-06-25,Withdrawn,2025-12-02,2029-09-30,TC2,Decision Point 1,Providence Forge-Turner 115kV,Dominion,99.90,Solar
AG2-646,PJM,2021-03-31,Withdrawn,2025-11-25,2029-06-01,TC2,Decision Point 1,Chesterfield 230 kV,Dominion,200.00,Storage
AH1-106,PJM,2021-08-04,Active,,,TC2,PHASE 2,Winterpock 34.5kV,Dominion,15.60,Solar
AH1-107,PJM,2021-08-04,Active,,,TC2,PHASE 2,Winterpock 34.5kV,Dominion,15.60,Solar
AG2-384,PJM,2021-03-29,Active,,,TC2,PHASE 2,Chesterfield 230 kV,Dominion,24.00,Storage
AG2-088,PJM,2021-01-26,Active,,,TC2,PHASE 2,Midlothian 230 kV,Dominion,150.00,Storage
AF1-128,PJM,2019-09-18,Done,,2029-12-31,TC1,FINAL AGREEMENT,Chesterfield 230 kV,Dominion,569.00,Thermal
AG1-538,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Remington-Gordonsville 230 kV,Dominion,32.00,Storage
AG2-188,PJM,2021-02-27,Withdrawn,2025-11-13,2028-12-15,TC2,Decision Point 1,Farmville - Buckingham 230 kV,Dominion,89.00,Solar
AG2-151,PJM,2021-02-23,Active,,,TC2,PHASE 2,Trices Lake - James River Tap 115 kV,Dominion,60.00,Solar
AG2-583,PJM,2021-03-31,Active,,,TC2,PHASE 2,Bremo - Cartersville 230 kV,Dominion,69.00,Solar
AH1-241,PJM,2021-09-09,Withdrawn,2025-12-03,2027-12-31,TC2,Decision Point 1,Cobbs Creek - James River Industrial 115kV,Dominion,60.00,Solar
AH1-439,PJM,2021-09-10,Active,,,TC2,PHASE 2,Buckingham- Farmville 230kV,Dominion,51.00,Solar
AH1-440,PJM,2021-09-10,Withdrawn,2025-07-03,2026-09-01,TC2,PHASE 1,Buckingham- Farmville 230kV,Dominion,34.00,Storage
AH1-072,PJM,2021-07-29,Active,,,TC2,PHASE 2,Red Onion - VC5 69 kV,AEP,12.00,Solar
AH1-073,PJM,2021-07-29,Active,,,TC2,PHASE 2,Red Onion - VC5 69 kV,AEP,12.00,Solar
AG1-449,PJM,2020-09-30,Withdrawn,2025-01-22,2022-12-31,TC1,PHASE 2,Rawlings-Carson 500 kV,Dominion,122.00,Storage
AE2-313,PJM,2019-03-29,Withdrawn,2025-01-22,2022-09-15,TC1,PHASE 2,Carson-Rawlings 500 kV,Dominion,188.40,Solar
AF1-266,PJM,2019-09-30,Withdrawn,2024-06-24,2022-12-31,TC1,PHASE 1,Clubhouse-Sapony 230 kV,Dominion,74.50,Storage
AG1-393,PJM,2020-09-30,Withdrawn,2025-11-03,2022-03-01,TC1,DP3,Sapony 34.5 kV,Dominion,12.00,Solar
AH1-197,PJM,2021-09-01,Withdrawn,2025-03-14,2021-08-20,TC2,APPLICATION REVIEW,Occoquan 230kV,Dominion,7.10,Thermal
AH1-220,PJM,2021-09-08,Done,,2029-12-31,TC2,Final Agreement,Remington CT 230 kV,Dominion,60.00,Storage
AH1-086,PJM,2021-07-30,Withdrawn,2025-11-26,2029-12-01,TC2,Decision Point 1,Morrisville 230kV,Dominion,90.00,Storage
AH1-087,PJM,2021-07-30,Withdrawn,2025-11-26,2029-12-01,TC2,Decision Point 1,Morrisville 230kV,Dominion,20.00,Storage
AH1-088,PJM,2021-07-30,Withdrawn,2025-11-26,2029-12-01,TC2,Decision Point 1,Morrisville 230kV,Dominion,20.00,Storage
AH1-089,PJM,2021-07-30,Withdrawn,2025-11-26,2029-12-01,TC2,Decision Point 1,Morrisville 230kV,Dominion,20.00,Storage
AH1-345,PJM,2021-09-10,Active,,2026-12-01,TC2,PHASE 2,Remington 324 34.5 kV,Dominion,8.40,Solar
AH1-684,PJM,2025-04-08,Active,,2028-04-15,TC2,PHASE 2,Remington CT 230 kV,Dominion,23.00,Thermal
AH1-685,PJM,2025-04-08,Active,,2028-05-31,TC2,PHASE 2,Remington CT 230 kV,Dominion,26.00,Thermal
AH1-693,PJM,2025-04-08,Active,,2029-04-15,TC2,PHASE 2,Remington CT 230 kV,Dominion,20.00,Thermal
AH1-681,PJM,2025-06-03,Active,,,TC2,PHASE 2,Cunningham 500 kV,Dominion,27.30,Thermal
AH1-217,PJM,2021-09-09,Withdrawn,2025-12-02,2028-11-30,TC2,Decision Point 1,Kidds Store - Fork Union 115 kV II,Dominion,34.20,Solar
AH1-712,PJM,2025-04-06,Active,,,TC2,PHASE 2,Cunningham 500 kV,Dominion,611.00,Thermal
AH1-723,PJM,2025-04-06,Active,,,TC2,PHASE 2,Cunningham 500 kV,Dominion,712.00,Thermal
AG1-284,PJM,2020-09-28,Withdrawn,2024-06-24,2023-09-30,TC1,PHASE 1,Fork Union 115 kV,Dominion,42.00,Solar
AF1-293,PJM,2019-09-30,Withdrawn,2024-06-24,2022-06-30,TC1,PHASE 1,Kidds Store-Fort Union 115 kV,Dominion,108.37,Hybrid
AF2-397,PJM,2020-04-01,Withdrawn,2024-06-24,2023-12-15,TC1,PHASE 1,Fork Union-Mt. Eagle 230 kV,Dominion,78.00,Hybrid
AF2-403,PJM,2020-03-31,Withdrawn,2025-01-22,2022-12-15,TC1,PHASE 1,Shockoe DP-Chatham 69 kV,Dominion,8.00,Storage
AH1-164,PJM,2021-08-31,Withdrawn,2025-12-01,2027-12-31,TC2,Decision Point 1,Oak Level - Tank Hill 138 kV,AEP,21.00,Solar
AG2-182,PJM,2021-02-26,Active,,,TC2,PHASE 2,Doubs-Bismark 500 kV,Dominion,133.33,Solar
AG2-288,PJM,2021-03-22,Active,,,TC2,PHASE 2,Stonewall 138 kV,APS,150.00,Storage
AG2-300,PJM,2021-03-23,Active,,,TC2,PHASE 2,Meadow Brook 138 kV,APS,70.00,Storage
AH1-144,PJM,2021-08-26,Active,,,TC2,PHASE 2,Peter's Mountain 138 kV,AEP,29.40,Solar
AH1-145,PJM,2021-08-26,Active,,,TC2,PHASE 2,Peter's Mountain 138 kV,AEP,80.00,Storage
AH1-355,PJM,2021-09-10,Withdrawn,2025-03-25,2024-09-10,TC2,PHASE 1,Owl Trap Switching Station 115kV,Dominion,40.00,Storage
AF1-201,PJM,2019-09-24,Withdrawn,2024-06-24,2021-12-31,TC1,PHASE 1,Hayes-White Marsh 115 kV,Dominion,90.00,Hybrid
AH1-170,PJM,2021-08-27,Active,,,TC2,PHASE 2,Columbia DP 115kV,Dominion,12.00,Solar
AH1-737,PJM,,Withdrawn,2025-04-18,2029-04-21,TC2,RRI APPLICATION REVIEW,,Dominion,200.00,Storage
AH1-677,PJM,2025-04-07,Active,,,TC2,PHASE 2,Rogers Road 500 kV,Dominion,67.00,Thermal
AE2-250,PJM,2019-03-26,Withdrawn,2025-01-22,2021-09-30,TC1,PHASE 2,Purdy Sw.-Reams 115 kV,Dominion,54.00,Solar
AF2-299,PJM,2020-03-30,Done,,2029-01-31,TC1,FINAL AGREEMENT,Fields 34.5 kV,Dominion,10.80,Solar
AG1-160,PJM,2020-09-11,Withdrawn,2024-06-24,2023-12-01,TC1,PHASE 1,Rogers Road 500 kV,Dominion,30.00,Storage
AG1-075,PJM,2020-07-31,Withdrawn,2025-01-22,2024-10-15,TC1,PHASE 1,Purdy-Sapony 115 kV,Dominion,93.20,Solar
AG2-369,PJM,2021-03-26,Active,,,TC2,PHASE 2,Heritage - Wake 500 kV,Dominion,51.60,Solar
AG2-541,PJM,2021-03-31,Withdrawn,2025-12-02,2027-11-30,TC2,Decision Point 1,Perth - Crystal Hill 115 kV,Dominion,39.00,Hybrid
AG2-260,PJM,2021-03-18,Withdrawn,2025-03-31,2025-12-01,TC2,APPLICATION REVIEW,Crystal Hill - Perth 115 kV,Dominion,89.40,Solar
AG2-262,PJM,2021-03-18,Active,,,TC2,PHASE 2,Dryburg 115 kV,Dominion,6.60,Solar
AG2-270,PJM,2021-03-19,Active,,,TC2,PHASE 2,Clover 230 kV,Dominion,105.00,Storage
AG2-112,PJM,2021-01-29,Withdrawn,2025-12-02,2027-11-30,TC2,Decision Point 1,Perth 34.5 kV Substation (Circuit 404),Dominion,9.12,Solar
AG1-105,PJM,2020-08-27,Done,,2030-05-28,TC1,FINAL AGREEMENT,Mount Laurel-Barnes Junction 115 kV,Dominion,54.00,Solar
