Project ID,Name,ISO,Status,Queue Date,Withdrawn Date,County,State,Zone,MW Capacity,Fuel Type,Proposed Date
1222,Group @ Berkshire 18C,ISONE,Withdrawn,2022-01-14,2025-06-13,Hampden,MA,WMA,7.65,Hybrid,2023-11-30
1223,Battery Storage,ISONE,Withdrawn,2022-01-18,2022-03-15,Worcester,MA,CMA,9.99,Storage,2022-04-29
1225,Offshore Wind,ISONE,Withdrawn,2022-02-03,2025-09-30,,MA,SEMA,1200.00,Wind,2029-01-31
1231,Battery Storage CNR Only,ISONE,Withdrawn,2022-03-04,2022-04-22,Windham,CT,CT,204.64,Storage,2025-05-01
1232,Battery Storage,ISONE,Withdrawn,2022-03-04,2024-10-23,Providence,RI,RI,27.44,Storage,2025-12-31
1233,Battery Storage,ISONE,Withdrawn,2022-03-14,2022-08-11,Bristol,MA,SEMA,20.00,Storage,2024-12-31
1234,Battery Storage,ISONE,Withdrawn,2022-03-14,2022-08-11,Bristol,MA,SEMA,20.00,Storage,2024-12-31
1235,Battery Storage,ISONE,Withdrawn,2022-03-14,2022-08-11,Bristol,MA,SEMA,20.00,Storage,2024-12-31
1237,Battery Storage CNR only,ISONE,Withdrawn,2022-03-21,2025-10-10,Washinton,RI,RI,205.00,Storage,2029-12-07
1239,Solar plus Battery,ISONE,Withdrawn,2022-03-25,2025-10-02,Oxford,ME,ME,183.60,Hybrid,2029-12-31
1240,Battery Storage,ISONE,Withdrawn,2022-03-25,2024-10-23,Kent,RI,RI,62.84,Storage,2025-12-31
1241,Sanford/Quaker Hill CMP Cluster 4,ISONE,Withdrawn,2022-03-28,2025-06-13,York,ME,ME,21.18,Hybrid,2028-06-30
1242,Lewiston CMP Cluster 5,ISONE,Withdrawn,2022-03-28,2025-06-13,Oxford/Androscoggin,ME,ME,52.46,Hybrid,2028-06-30
1243,Solar,ISONE,Withdrawn,2022-03-31,2025-10-11,Aroostook,ME,ME,300.00,Solar,2026-11-01
1244,Solar,ISONE,Withdrawn,2022-03-31,2022-11-14,Franklin,ME,ME,75.00,Solar,2025-11-01
1245,Solar,ISONE,Active,2022-03-31,,Hartford,CT,CT,150.00,Solar,2028-10-31
1246,Solar,ISONE,Withdrawn,2022-03-31,2023-07-25,Grafton,NH,NH,150.00,Solar,2025-11-01
1247,Solar,ISONE,Active,2022-04-05,,Hartford,CT,CT,25.00,Solar,2027-11-15
1248,Battery Storage,ISONE,Withdrawn,2022-04-06,2025-10-11,Bristol,MA,RI,154.66,Storage,2026-05-31
1249,Battery Storage Addition,ISONE,Withdrawn,2022-04-19,2023-03-28,New London,CT,CT,16.02,Storage,2027-05-14
1250,Battery Storage,ISONE,Withdrawn,2022-04-14,2023-05-18,York,ME,ME,50.70,Storage,2024-11-01
1251,Battery Storage,ISONE,Withdrawn,2022-04-11,2022-08-26,Hartford,CT,CT,60.00,Storage,2024-12-31
1253,Battery Storage CNR Only (see QP887),ISONE,Withdrawn,2022-04-27,2023-11-14,Norfolk,MA,SEMA,150.00,Storage,2026-05-31
1254,Kimball DG Area Study,ISONE,Withdrawn,2022-05-02,2025-06-13,York/Oxford/Cumberland,ME,ME,7.89,Hybrid,2028-06-30
1255,Detroit/Guilford/Belfast DG Area Study,ISONE,Withdrawn,2022-05-02,2025-06-13,Piscataquis/Penobscot/Somerset/Waldo/Hancock,ME,ME,57.72,Hybrid,2027-12-31
1256,Wind,ISONE,Withdrawn,2022-05-03,2025-10-11,Aroostook,ME,BHE,905.00,Wind,2026-12-09
1257,Solar,ISONE,Withdrawn,2022-05-03,2025-10-11,Aroostook,ME,BHE,319.20,Solar,2026-12-09
1258,Battery Storage CNR Only,ISONE,Withdrawn,2022-05-03,2025-10-11,Norfolk,MA,SEMA,170.00,Storage,2027-07-26
1259,Battery Storage,ISONE,Withdrawn,2022-06-15,2025-08-01,Berkshire,MA,WMA,20.00,Storage,2027-06-28
