Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type,State,County,Developer
AH1-426,PJM,2021-09-11,Withdrawn,2025-12-01,2029-12-31,TC2,Decision Point 1,Gilboa-Jones Branch 138 kV IV,APS,64.60,Storage,WV,Kanawha,"Nicholas County Solar Project, LLC"
AG2-448,PJM,2021-03-30,Active,,,TC2,PHASE 2,Cross School - Westvaco 138 kV,APS,30.00,Solar,WV,Mineral,"Potomac Hills Energy, LLC"
AG2-314,PJM,2021-03-25,Withdrawn,2024-11-27,2024-05-01,TC2,APPLICATION PHASE,Gilboa-Jones Branch 138 kV III,APS,67.00,Storage,WV,Nicholas,"Deep Lake Energy Center, LLC"
AH1-426A,PJM,2021-09-11,Withdrawn,2025-12-01,2029-12-31,TC2,Decision Point 1,Gilboa-Jones Branch 138 kV V,APS,32.30,Storage,WV,Nicholas,"Nicholas County Solar Project, LLC"
AH1-340,PJM,2021-09-10,Withdrawn,2025-11-13,2027-12-31,TC2,Decision Point 1,Cheat Lake-Ruthbelle 138 kV,APS,29.33,Solar,WV,Preston,Rockville Solar LLC
AG2-658,PJM,2021-03-31,Withdrawn,2025-11-18,2028-06-01,TC2,Decision Point 1,Cowen 138 kV,APS,135.30,Solar,WV,Webster,Halo Solar WV LLC
AE2-138,PJM,2019-03-08,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 1,Avon-North Clark 345 kV,EKPC,20.80,Solar,KY,Clark,"Geenex Solar, LLC"
AE2-210,PJM,2019-03-20,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 1,Avon-North Clark 345 kV,EKPC,7.20,Solar,KY,Clark,"Geenex Solar, LLC"
AG2-184,PJM,2021-02-27,Active,,2028-12-31,TC2,PHASE 2,Harbert Metering 138 kV,AEP,126.00,Solar,KY,Knott,"STMO bn, LLC"
AF2-111,PJM,2020-02-28,Done,,2030-06-30,TC1,FINAL AGREEMENT,North Clark-Spurlock 345 kV,EKPC,150.00,Solar,KY,Mason,"Goldfinch Solar, LLC"
AH1-756,PJM,,Withdrawn,2025-05-02,2030-12-31,TC2,RRI APPLICATION REVIEW,,Duke,250.00,Storage,KY,Mason,"Goldfinch Solar, LLC"
AH1-281,PJM,2021-09-09,Withdrawn,2025-12-02,2027-09-15,TC2,Decision Point 1,Bluegrass Parkway Tap - Woodlawn 69 kV,EKPC,12.00,Solar,KY,Nelson,"Soltage KY DevCo, LLC"
AH1-446,PJM,2021-09-10,Withdrawn,2025-03-20,2024-12-02,TC2,APPLICATION REVIEW,Sanders DP - Westmoreland 230 kV,Dominion,19.50,Hybrid,VA,Westmoreland,Kings Highway Solar LLC
AH1-637,PJM,2021-09-13,Active,,,TC2,PHASE 2,Oak Grove 34.5 kV,Dominion,9.60,Solar,VA,Westmoreland,"Groves Solar, LLC"
AG2-469,PJM,2021-03-31,Withdrawn,2025-12-04,2030-12-31,TC2,Decision Point 1,Westmoreland - Oak Grove 230 kV,Dominion,48.00,Solar,VA,Westmoreland,Invenergy Solar Project Development LLC
AH1-753,PJM,,Withdrawn,2025-05-02,2019-09-13,TC2,RRI APPLICATION REVIEW,,AEP,396.00,Thermal,WV,Marshall,"Calpine Mid-Atlantic Development, LLC"
AH1-188,PJM,2021-08-31,Active,,,TC2,PHASE 2,Pigeon Creek 138 kV,AEP,84.00,Solar,WV,Mingo,"Twisted Gun Solar, LLC"
AG2-354,PJM,2021-03-26,Withdrawn,2025-02-06,2024-09-30,TC2,APPLICATION REVIEW,Ragland - Grant Branch 138 kV,AEP,72.92,Hybrid,WV,Mingo,Mountaineer Solar LLC
AG2-440,PJM,2021-03-30,Active,,,TC2,PHASE 2,Twittys Creek - Madisonville 115 kV,Dominion,45.00,Solar,VA,Charlotte,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-441,PJM,2021-03-30,Active,,,TC2,PHASE 2,Twittys Creek - Madisonville 115 kV,Dominion,67.80,Solar,VA,Charlotte,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-442,PJM,2021-03-30,Active,,,TC2,PHASE 2,Twittys Creek - Madisonville 115 kV,Dominion,84.00,Solar,VA,Charlotte,Taro Solar LLC
AG2-077,PJM,2021-01-19,Active,,,TC2,PHASE 2,Clover-Rawlings 500 kV,Dominion,120.00,Solar,VA,Charlotte,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AF2-222,PJM,2020-03-25,Done,,2031-03-01,TC1,FINAL AGREEMENT,Madisonville DP-Twitty's Creek 115 kV,Dominion,100.00,Solar,VA,Charlotte,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG1-272,PJM,2020-09-29,Withdrawn,2025-01-22,2022-03-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid,VA,Charlotte,CV-Tollhouse LLC
AG1-273,PJM,2020-09-28,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid,VA,Charlotte,CV-Tollhouse LLC
AG1-274,PJM,2020-09-28,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid,VA,Charlotte,CV-Tollhouse LLC
AG1-285,PJM,2020-09-28,Done,,2031-04-30,TC1,FINAL AGREEMENT,Chase City-Central 115 kV,Dominion,75.00,Solar,VA,Charlotte,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG1-185,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Pamplin-Chase City 115 kV,Dominion,48.91,Storage,VA,Charlotte,"Drakes Branch Solar, LLC"
AG1-181,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Pamplin-Chase City 115 kV,Dominion,101.09,Solar,VA,Charlotte,"Drakes Branch Solar, LLC"
AG1-384,PJM,2020-09-30,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 2,Twitty's Creek 115 kV,Dominion,6.00,Hybrid,VA,Charlotte,CV-Tollhouse LLC
AH1-215,PJM,2021-09-09,Withdrawn,2025-12-02,2028-11-30,TC2,Decision Point 1,Central VA-Twitty 115 kV,Dominion,18.90,Hybrid,VA,Charlotte,Mountain Pine Chase City LLC
AF1-278,PJM,2019-09-30,Withdrawn,2024-06-21,2024-06-29,TC1,PHASE 1,Lewis Run-Pierce Brook 3 230 kV,PENELEC,53.44,Solar,PA,Mc Kean,"McKean Solar, LLC"
AH1-666,PJM,2019-09-30,Active,,,TC2,PHASE 2,Flemingsburg - Spurlock 138 kV,EKPC,48.00,Solar,KY,Fleming,"Fleming Solar, LLC"
AF1-233,PJM,2019-09-27,Done,,2029-03-31,TC1,FINAL AGREEMENT,Flemingsburg – Spurlock 138kV,EKPC,113.10,Solar,KY,Fleming,"AEUG Fleming Solar, LLC"
AH1-665,PJM,2019-01-23,Active,,,TC2,PHASE 2,Goddard-Plumsville 138 kV II,EKPC,53.50,Solar,KY,Fleming,Hummingbird Energy LLC
AH1-664,PJM,2018-09-24,Active,,,TC2,PHASE 2,Goddard-Plumville 138 kV,EKPC,66.80,Solar,KY,Fleming,Hummingbird Energy LLC
AH1-429,PJM,2021-09-10,Withdrawn,2025-07-03,2026-09-01,TC2,PHASE 1,Flemingsburg - Spurlock 138 kV,EKPC,54.00,Solar,KY,Fleming,"ACE Development Company, LLC"
AH1-034,PJM,2021-06-14,Withdrawn,2025-12-02,2029-12-31,TC2,Decision Point 1,Patton Road Junction - Summer Shade 69 kV,EKPC,70.00,Solar,KY,Barren,"Scotland Solar, LLC"
AG1-070,PJM,2020-07-30,Withdrawn,2025-11-03,2024-06-01,TC1,PHASE 3,Bon Ayr 69 kV,EKPC,32.70,Solar,KY,Barren,Wood Duck Solar LLC
AG1-071,PJM,2020-07-30,Withdrawn,2025-11-03,2024-06-01,TC1,PHASE 3,Bon Ayr 69 kV,EKPC,37.50,Solar,KY,Barren,Wood Duck Solar LLC
AG1-154,PJM,2020-09-10,Withdrawn,2025-11-03,2023-12-01,TC1,PHASE 3,Ladysmith CT 230 kV,Dominion,20.00,Storage,VA,Caroline,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG1-412,PJM,2020-09-30,Withdrawn,2025-01-22,2023-12-01,TC1,PHASE 2,Ladysmith CT-Mine Road 230 kV,Dominion,80.00,Storage,VA,Caroline,"Matta Grid, LLC"
AG2-320,PJM,2021-03-24,Withdrawn,2025-12-02,2031-07-01,TC2,Decision Point 1,Ladysmith 230 kV,Dominion,105.00,Storage,VA,Caroline,"Ladysmith Storage, LLC"
AH1-222,PJM,2021-09-08,Withdrawn,2025-04-29,2023-12-01,TC2,PHASE 1,Ladysmith CT 230 kV,Dominion,30.00,Storage,VA,Caroline,Virginia Electric and Power Company
AH1-626,PJM,2021-09-10,Withdrawn,2025-01-14,2025-03-21,TC2,APPLICATION REVIEW,Ladysmith 230 kV,Dominion,62.50,Storage,VA,Caroline,Idemitsu Renewables America Development LLC
AH1-627,PJM,2021-09-10,Withdrawn,2025-01-14,2025-03-21,TC2,APPLICATION REVIEW,Ladysmith 230 kV II,Dominion,62.50,Storage,VA,Caroline,Idemitsu Renewables America Development LLC
AH1-694,PJM,2025-04-08,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,18.00,Thermal,VA,Caroline,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-691,PJM,2025-04-08,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,26.00,Thermal,VA,Caroline,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-692,PJM,2025-04-08,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,26.00,Thermal,VA,Caroline,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-682,PJM,2025-04-04,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,21.00,Thermal,VA,Caroline,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-683,PJM,2025-04-04,Active,,,TC2,PHASE 2,Ladysmith CT 230 kV,Dominion,25.00,Thermal,VA,Caroline,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-081,PJM,2021-07-30,Withdrawn,2025-05-05,2024-12-20,TC2,PHASE 1,Knob Lick 69kV,EKPC,36.00,Solar,KY,Metcalfe,Wildrye Solar LLC
AH1-082,PJM,2021-07-30,Withdrawn,2025-05-05,2024-12-20,TC2,PHASE 1,Knob Lick 69kV,EKPC,26.40,Solar,KY,Metcalfe,Wildrye Solar LLC
AH1-083,PJM,2021-07-30,Withdrawn,2025-05-05,2024-12-20,TC2,PHASE 1,Summer Shade - Green County 161 kV,EKPC,60.00,Solar,KY,Metcalfe,Coneflower Solar 2 LLC
AG2-094,PJM,2021-01-27,Withdrawn,2025-05-05,2024-04-01,TC2,PHASE 1,Summer Shade-Green County 161 kV,EKPC,90.00,Solar,KY,Metcalfe,Coneflower Solar LLC
AG1-341,PJM,2020-09-30,Done,,2028-12-31,TC1,FINAL AGREEMENT,Summer Shade 161 kV,EKPC,63.60,Hybrid,KY,Metcalfe,"Summer Shade Solar, LLC"
AG1-306,PJM,2020-09-29,Withdrawn,2024-06-21,2023-10-01,TC1,PHASE 1,Fawkes-Dale 138 kV,EKPC,39.00,Solar,KY,Madison,"AEUG Boonesborough Solar, LLC"
AE2-275,PJM,2019-03-28,Withdrawn,2025-01-22,2022-06-01,TC1,PHASE 1,J.K. Smith-Fawkes 138 kV,EKPC,7.20,Solar,KY,Madison,"Geenex Solar, LLC"
AE2-308,PJM,2019-03-29,Done,,2029-01-31,TC1,FINAL AGREEMENT,Three Forks-Dale 138 kV,EKPC,60.00,Solar,KY,Madison,"AEUG Madison Solar, LLC"
AF2-348,PJM,2020-03-31,Withdrawn,2025-01-22,2022-07-01,TC1,DP2,North Clark-Spurlock 345 kV,EKPC,150.00,Solar,KY,Madison,"AEUG Covered Bridge Solar, LLC"
AF2-355,PJM,2020-03-31,Withdrawn,2025-01-22,2022-07-01,TC1,DP2,West Gerrard-J.K. Smith 345 kV,EKPC,135.00,Solar,KY,Madison,"AEUG Richmond Solar, LLC"
AG2-073,PJM,2021-01-11,Active,,,TC2,PHASE 2,Crooksville 69 kV,EKPC,50.88,Solar,KY,Madison,"SR Madison, LLC"
AG1-526,PJM,2020-09-30,Withdrawn,2025-11-03,2023-06-01,TC1,PHASE 3,West Garrard 345 kV,EKPC,133.20,Solar,KY,Garrard,"PJM Solar Devco I, LLC"
AH1-004,PJM,2021-04-07,Active,,,TC2,PHASE 2,Avon - Renaker 138 kV,EKPC,24.00,Solar,KY,Fayette,"SR Fayette, LLC"
AG2-670,PJM,2021-03-31,Withdrawn,2025-12-02,2029-12-31,TC2,Decision Point 1,Greensburg 69 kV,EKPC,45.00,Solar,KY,Green,Grayson Solar LLC
AH1-751,PJM,,Withdrawn,2025-05-02,2029-09-30,TC2,RRI APPLICATION REVIEW,,EKPC,150.00,Storage,KY,Green,"Exie Solar, LLC"
AG1-354,PJM,2020-09-30,Done,,2028-10-30,TC1,FINAL AGREEMENT,Summershade-Green County 161 kV,EKPC,90.00,Solar,KY,Green,"Exie Solar, LLC"
AG2-553,PJM,2021-03-31,Withdrawn,2025-12-02,2029-05-31,TC2,Decision Point 1,Bullitt County 161 kV,EKPC,20.00,Storage,KY,Bullitt,EDP Renewables North America LLC
AF2-365,PJM,2020-03-31,Withdrawn,2025-11-03,2022-12-31,TC1,PHASE 3,Munfordville KU Tap-Horse Cave Jct. 69 kV,EKPC,30.00,Solar,KY,Hart,"Thoroughbred Solar, LLC"
AF2-391,PJM,2020-03-31,Withdrawn,2025-01-14,2023-06-15,TC1,PHASE 2,Central Hardin 69 kV,EKPC,72.00,Hybrid,KY,Hardin,Naturgy Candela DevCo LLC
AG1-320,PJM,2020-09-30,Done,,2029-12-31,TC1,FINAL AGREEMENT,Hodgenville-Stephensburg 69 kV,EKPC,54.80,Solar,KY,Hardin,"CPV Stonecrop Solar, LLC"
AG2-081,PJM,2021-01-21,Active,,,TC2,PHASE 2,Avon - Renaker 138 kV,EKPC,18.00,Solar,KY,Montgomery,"SR Fayette II, LLC"
AG2-298,PJM,2021-03-23,Active,,,TC2,PHASE 2,Sulphur Creek-Loretto 69 kV,EKPC,23.33,Solar,KY,Marion,"Crab Run Solar Project, LLC"
AG1-488,PJM,2020-09-30,Withdrawn,2024-06-21,2022-09-30,TC1,PHASE 1,Marion Co 161 kV,EKPC,42.00,Solar,KY,Marion,"BrightNight, LLC"
AG1-405,PJM,2020-09-30,Withdrawn,2025-11-03,2024-09-25,TC1,PHASE 3,Walnut Grove-Asahi 69 kV,EKPC,34.20,Solar,KY,McLean,"Sunflower Prairie Solar Project, LLC"
AG1-406,PJM,2020-09-30,Withdrawn,2025-11-03,2024-09-25,TC1,PHASE 3,Walnut Grove-Asahi 69 kV,EKPC,22.00,Storage,KY,McLean,"Sunflower Prairie Solar Project, LLC"
AG1-353,PJM,2020-09-30,Withdrawn,2025-01-22,2023-12-31,TC1,PHASE 1,Green County-Marion County 161 kV,EKPC,58.80,Solar,KY,Taylor,"Creekview Solar, LLC"
AF2-307,PJM,2020-03-30,Withdrawn,2025-11-03,2023-09-01,TC1,PHASE 3,Hope-Belvins Valley Tap 69 kV,EKPC,39.60,Solar,KY,Bath,"Flat Top Solar Project, LLC"
AH1-463,PJM,2021-09-10,Withdrawn,2025-04-22,2024-12-31,TC2,PHASE 1,Owingsville - Preston 69 kV,EKPC,39.00,Solar,KY,Bath,"Preston Solar, LLC"
AF1-116,PJM,2019-09-12,Withdrawn,2025-02-28,2023-12-29,TC1,DP2,Marion County 161 kV,EKPC,72.00,Solar,KY,Washington,"Logan Branch Solar, LLC"
AG2-179,PJM,2021-02-26,Withdrawn,2025-12-04,2027-11-19,TC2,Decision Point 1,Sewellton Junction 69 kV,EKPC,57.00,Hybrid,KY,Adair,"Round Trip, LLC"
AG2-424,PJM,2021-03-30,Active,,,TC2,PHASE 2,Summersville - Magnolia 69 kV,EKPC,34.95,Hybrid,KY,Larue,Magnolia Solar and Grazing Farm LLC
C01-1013,PJM,2025-05-30,Withdrawn,2025-06-02,2028-06-30,C01,Application Submission,,PEPCO,108.00,Thermal,MD,Charles County,"Lanyard Power Holdings, LLC"
C01-1024,PJM,2026-02-27,Withdrawn,2026-03-19,2028-08-01,C01,Application Submission,,Dominion,250.00,Storage,VA,Stafford,"Segue Renewables I, LLC"
C01-1129,PJM,2026-02-16,Withdrawn,2026-02-18,2027-06-25,C01,Application Submission,,Dominion,100.00,Thermal,VA,Caroline,"QHVC Fund I, LLC"
