Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type,State,County,Developer
AG1-030,PJM,2020-06-09,Withdrawn,2024-06-24,2023-01-01,TC1,PHASE 1,Victoria DP-Martin DP 115 kV,Dominion,90.00,Solar,VA,Nottoway,Dickerson Creek Solar LLC
AG1-166,PJM,2020-09-16,Withdrawn,2025-11-03,2021-10-15,TC1,PHASE 3,Lone Pine 115 kV,Dominion,6.00,Solar,VA,Nottoway,NW-Rocky Ford LLC
AG1-288,PJM,2020-09-28,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Lake of the Woods DP-Wilderness DP 115 kV,Dominion,96.59,Solar,VA,Orange,"Locust Grove Solar, LLC"
AG1-289,PJM,2020-09-28,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Lake of the Woods DP-Wilderness DP 115 kV,Dominion,53.41,Storage,VA,Orange,"Locust Grove Solar, LLC"
AG1-502,PJM,2020-09-30,Withdrawn,2025-01-22,2023-06-30,TC1,PHASE 2,Oak Green 115 kV,Dominion,64.00,Hybrid,VA,Orange,Oak Green Solar LLC
AG1-503,PJM,2020-09-30,Withdrawn,2025-01-22,2023-06-30,TC1,PHASE 2,Oak Green 115 kV,Dominion,16.00,Hybrid,VA,Orange,Oak Green Solar LLC
AH1-676,PJM,2025-04-04,Withdrawn,2025-11-26,2031-05-31,TC2,Decision Point 1,Gordonsville 230 kV,Dominion,1275.90,Thermal,VA,Orange,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-447,PJM,2021-09-10,Withdrawn,2025-03-20,2024-12-02,TC2,APPLICATION REVIEW,Axton – Danville #2 138 kV,AEP,36.00,Storage,VA,Pittsylvania,"Cascade Energy Storage, LLC"
AH1-314,PJM,2021-09-11,Active,,,TC2,PHASE 2,East Danville 138 kV,AEP,100.00,Storage,VA,Pittsylvania,Pittsylvania Energy Storage LLC
AE2-187,PJM,2019-03-18,Withdrawn,2025-11-03,2020-09-01,TC1,PHASE 3,Shockoe DP-Chatham 69 kV,Dominion,36.00,Solar,VA,Pittsylvania,"Zenith Solar, LLC"
AE2-291,PJM,2019-03-29,Done,,2030-05-28,TC1,FINAL AGREEMENT,Grit DP-Perth 115 kV,Dominion,61.20,Solar,VA,Pittsylvania,"Hillandale Solar, LLC"
AG2-152,PJM,2021-02-23,Active,,,TC2,PHASE 2,Banister-Bear Skin 138 kV,AEP,79.00,Solar,VA,Pittsylvania,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-272,PJM,2021-03-19,Active,,,TC2,PHASE 2,Berry Hill 138 kV,AEP,21.30,Storage,VA,Pittsylvania,"Tupelo Storage, LLC"
AG1-539,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Grit DP-Perth 115 kV,Dominion,32.00,Storage,VA,Pittsylvania,"Sourbark Storage, LLC"
AG1-547,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Mount Airy-Chatham 69 kV,Dominion,32.54,Hybrid,VA,Pittsylvania,"Curie Solar, LLC"
AH1-071,PJM,2021-07-29,Active,,,TC2,PHASE 2,Midlothian 34.5 kV,Dominion,12.00,Solar,VA,Powhatan,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-377,PJM,2021-09-10,Withdrawn,2025-11-21,2028-10-01,TC2,Decision Point 1,Clover- Farmville 230kV,Dominion,111.60,Solar,VA,Prince Edward,"Keysville PV I, LLC"
AH1-731,PJM,,Withdrawn,2025-05-02,2028-05-05,TC2,RRI APPLICATION REVIEW,,Dominion,107.00,Storage,VA,Prince Edward,"Cumberland Solar USA, LLC"
AH1-750,PJM,,Withdrawn,2025-05-02,2029-11-10,TC2,RRI APPLICATION REVIEW,,Dominion,100.00,Storage,VA,Prince Edward,Pine Lake Solar LLC
AG2-198,PJM,2021-02-28,Active,,,TC2,PHASE 2,Briery - Finneywood 230 kV,Dominion,48.00,Solar,VA,Prince Edward,Gabriel Energy LLC
AG2-566,PJM,2021-03-31,Active,,,TC2,PHASE 2,Briery - Finneywood 230 kV,Dominion,12.00,Storage,VA,Prince Edward,"Gabriel Storage, LLC"
AF2-171,PJM,2020-03-19,Withdrawn,2025-01-22,2022-03-31,TC1,PHASE 1,Madisonville 115 kV,Dominion,90.00,Solar,VA,Prince Edward,"CPV County Line Solar, LLC"
AG2-095,PJM,2021-01-28,Active,,,TC2,PHASE 2,Hopewell 34.5 kV (Circuit 313),Dominion,10.80,Solar,VA,Prince George,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-093,PJM,2021-01-26,Withdrawn,2025-12-03,2029-12-01,TC2,Decision Point 1,"Spruance Genco, LLC",Dominion,100.00,Hybrid,VA,Prince George,Admiral Solar LLC
AH1-732,PJM,,Withdrawn,2025-05-02,2028-04-30,TC2,RRI APPLICATION REVIEW,,Dominion,50.00,Storage,VA,Prince George,"SolAmerica Energy, LLC"
AH1-741,PJM,,Withdrawn,2025-05-02,2030-12-31,TC2,RRI APPLICATION REVIEW,,Dominion,97.00,Thermal,VA,Prince William,Virginia Electric and Power Company
AH1-696,PJM,2025-04-07,Active,,2030-06-01,TC2,PHASE 2,Possum Point 230kV,Dominion,94.00,Thermal,VA,Prince William,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-284,PJM,2021-03-22,Withdrawn,2025-07-03,2023-12-31,TC2,PHASE 1,Catharpin 230 kV,Dominion,150.00,Storage,VA,Prince William,"Urban Grid Solar Projects, LLC."
AG2-304,PJM,2021-03-23,Withdrawn,2025-11-06,2028-12-31,TC2,Decision Point 1,Liberty 230 kV,Dominion,150.00,Storage,VA,Prince William,"Urban Grid Solar Projects, LLC"
AH1-269,PJM,2021-09-09,Active,,,TC2,PHASE 2,Claytor 138 kV,AEP,50.00,Storage,VA,Pulaski,"Claytor Energy Storage, LLC"
AG1-536,PJM,2020-09-30,Done,,2031-05-31,TC1,FINAL AGREEMENT,Garner-Northern Neck 115 kV,Dominion,32.00,Storage,VA,Richmond,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AF2-120,PJM,2020-02-28,Done,,2031-05-31,TC1,FINAL AGREEMENT,Garner-Northern Neck 115 kV,Dominion,37.20,Solar,VA,Richmond,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG1-135,PJM,2020-09-03,Done,,2031-03-01,TC1,FINAL AGREEMENT,Garner-Lancaster 115 kV,Dominion,36.00,Solar,VA,Richmond,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-310,PJM,2021-03-23,Withdrawn,2025-12-02,2031-07-01,TC2,Decision Point 1,Matt Funk 138 kV,AEP,70.00,Storage,VA,Roanoke,"Matt Funk Storage, LLC"
AG1-556,PJM,2020-09-30,Withdrawn,2024-06-24,2024-06-01,TC1,PHASE 1,Lexington 115 kV,Dominion,100.00,Storage,VA,Rockbridge,Sand Dragon Energy LLC
AG2-080,PJM,2021-01-21,Withdrawn,2025-07-07,2024-06-01,TC2,PHASE 1,Lexington 115 kV,Dominion,78.00,Storage,VA,Rockbridge,Sand Dragon Energy LLC
AG2-528,PJM,2021-03-31,Withdrawn,2025-06-06,2024-10-31,TC2,PHASE 1,Bustleburg Tap - Fairfield DP 115 kV,Dominion,72.80,Hybrid,VA,Rockbridge,Sunday Solar LLC
AG2-542,PJM,2021-03-31,Withdrawn,2025-03-31,2024-06-03,TC2,APPLICATION REVIEW,North Shenandoah – Merck 115 kV,Dominion,42.00,Hybrid,VA,Rockingham,"Knight Energy Center, LLC"
AG1-151,PJM,2020-09-10,Withdrawn,2024-06-24,2023-10-30,TC1,PHASE 1,Endless Caverns 115 kV,Dominion,100.00,Storage,VA,Rockingham,"Prospect Power, LLC"
AG1-346,PJM,2020-09-30,Withdrawn,2025-01-22,2022-12-01,TC1,PHASE 2,Mount Jackson DP 115 kV,Dominion,12.00,Solar,VA,Shenandoah,Ginger Gold Solar LLC
AG2-086,PJM,2021-01-22,Active,,,TC2,PHASE 2,Mt. Jackson DP-Mt. Jackson 115 kV,Dominion,45.00,Hybrid,VA,Shenandoah,"OFW Solar Farm, LLC"
AH1-179,PJM,2021-08-31,Withdrawn,2025-04-09,2022-12-31,TC2,PHASE 1,Edinburg - Woodstock DP 34.5 kV,Dominion,12.00,Solar,VA,Shenandoah,"Valley Overlook Solar, LLC"
AH1-743,PJM,,Withdrawn,2025-05-02,2029-04-30,TC2,RRI APPLICATION REVIEW,,APS,255.00,Thermal,VA,Shenandoah,"Lighthouse Storage, LLC"
AG2-360,PJM,2021-03-26,Active,,,TC2,PHASE 2,Broadford 138 kV,AEP,250.00,Storage,VA,Smyth,Laurel Creek Energy Storage LLC
AG1-343,PJM,2020-09-30,Withdrawn,2025-01-22,2023-12-01,TC1,PHASE 2,Boykins-Murphy 115 kV,Dominion,35.00,Hybrid,VA,Southampton,White Oak Solar Facility LLC
AG1-394,PJM,2020-09-30,Withdrawn,2025-11-03,2022-03-01,TC1,PHASE 3,Boykins 34.5 kV,Dominion,5.00,Solar,VA,Southampton,SH-Mehrrin LLC
AG1-133,PJM,2020-09-02,Withdrawn,2024-06-24,2024-12-01,TC1,PHASE 1,North Anna-Ladysmith 500 kV,Dominion,76.80,Solar,VA,Spotsylvania,Virginia Electric and Power Company
AH1-251,PJM,2021-09-09,Active,,,TC2,PHASE 2,Todds Tavern- Spotsylvania/Goldsdale 115kV,Dominion,50.00,Storage,VA,Spotsylvania,"Tavern Energy, LLC"
AH1-263,PJM,2021-09-09,Active,,,TC2,PHASE 2,Chancellor 115 kV,Dominion,200.00,Storage,VA,Spotsylvania,Scarlet Energy Storage LLC
AG2-661,PJM,2021-03-31,Active,,,TC2,PHASE 2,Hopewell - Colonial Trail 230 kV,Dominion,20.00,Hybrid,VA,Surry,Wild Indigo Energy Center LLC
AH1-324,PJM,2021-09-10,Withdrawn,2025-12-03,2030-12-31,TC2,Decision Point 1,Colonial Trail - Surry 230 kV,Dominion,48.00,Solar,VA,Surry,Invenergy Solar Project Development LLC
AH1-717,PJM,2025-04-10,Withdrawn,2025-11-26,2031-12-31,TC2,Decision Point 1,Gravel Neck 230 kV,Dominion,92.70,Thermal,VA,Surry,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG1-011,PJM,2020-05-08,Withdrawn,2024-06-24,2022-06-30,TC1,PHASE 1,Colonial Trail 230 kV,Dominion,160.00,Storage,VA,Surry,"Urban Grid Solar Projects, LLC"
AG1-174,PJM,2020-09-16,Withdrawn,2024-06-24,2021-10-15,TC1,PHASE 1,Hopewell-Surry 230 kV,Dominion,12.00,Solar,VA,Surry,SR-Colonial Trail LLC
AF2-065,PJM,2020-01-30,Withdrawn,2024-06-24,2021-10-21,TC1,PHASE 1,Surry-Hopewell 230 kV,Dominion,76.50,Solar,VA,Surry,Violet Wood Solar LLC
AE2-270,PJM,2019-03-28,Withdrawn,2024-06-24,2021-09-29,TC1,PHASE 1,Hopewell-Surry 230 kV,Dominion,150.00,Hybrid,VA,Surry,Violet Wood Solar LLC
AG1-178,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Carson-Suffolk 500 kV,Dominion,324.94,Solar,VA,Sussex,"Cabin Point Solar, LLC"
AG1-179,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Brunswick-Gasburg 69 kV,Dominion,33.66,Solar,VA,Sussex,"Merchant Solar, LLC"
AG1-180,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Brunswick-Gasburg 69 kV,Dominion,16.40,Storage,VA,Sussex,"Merchant Solar, LLC"
AG1-184,PJM,2020-09-17,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Carson-Suffolk 500 kV,Dominion,175.06,Storage,VA,Sussex,"Cabin Point Solar, LLC"
AG2-338,PJM,2021-03-25,Withdrawn,2025-12-02,2029-10-31,TC2,Decision Point 1,Rogers Road - Carson 500 kV,Dominion,40.00,Storage,VA,Sussex,Cassius Blue Solar LLC
AG2-339,PJM,2021-03-25,Active,,,TC2,PHASE 2,Rogers Road - Carson 500 kV,Dominion,85.00,Storage,VA,Sussex,Cassius Blue Solar LLC
AG2-436,PJM,2021-03-30,Active,,,TC2,PHASE 2,Carson - Rogers Road 500 kV,Dominion,140.00,Solar,VA,Sussex,"Monarch Solar, LLC"
AG2-426,PJM,2021-03-30,Active,,,TC2,PHASE 2,Wakefield - Waverly 115 kV,Dominion,33.50,Hybrid,VA,Sussex,"Waverly Solar 1, LLC"
AG2-427,PJM,2021-03-30,Withdrawn,2025-12-02,2028-04-30,TC2,Decision Point 1,Waverly 115 kV,Dominion,66.30,Hybrid,VA,Sussex,"Old Forty Road Solar, LLC"
AG2-428,PJM,2021-03-30,Withdrawn,2025-12-02,2028-04-30,TC2,Decision Point 1,Wakefield 115 kV,Dominion,135.70,Hybrid,VA,Sussex,"Peter's Bridge Solar, LLC"
AH1-461,PJM,2021-09-10,Active,,,TC2,PHASE 2,Buckhorn 138 kV,AEP,80.00,Storage,VA,Tazewell,"Lakeside Energy, LLC"
AH1-133,PJM,2021-08-23,Active,,,TC2,PHASE 2,Saltville - Tazewell 138 kV,AEP,29.40,Solar,VA,Tazewell,Hermes Solar LLC
AH1-747,PJM,,Withdrawn,2025-05-02,2029-06-11,TC2,RRI APPLICATION REVIEW,,Dominion,300.00,Storage,VA,Warren,"Cardinal Energy Storage East, LLC"
AH1-227,PJM,2021-09-08,Active,,,TC2,PHASE 2,Flemming - Fremont 69 kV,AEP,30.78,Solar,VA,Wise,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-348,PJM,2021-09-10,Active,,,TC2,PHASE 2,Pound 34.5 kV,AEP,6.00,Solar,VA,Wise,"Highlands CF Solar, LLC"
AG2-462,PJM,2021-03-30,Withdrawn,2025-06-09,2024-10-31,TC2,PHASE 1,Progress Park - Glen Lyn 138 kV,AEP,78.00,Hybrid,VA,Wythe,May Solar LLC
AH1-157,PJM,2021-08-31,Withdrawn,2025-11-19,2027-12-01,TC2,Decision Point 1,Penniman - Waller 230 kV,Dominion,100.00,Storage,VA,York,Delorean Power LLC dba Lightshift Energy
AG1-359,PJM,2020-09-30,Withdrawn,2024-06-24,2024-12-01,TC1,PHASE 1,Fentress 230 kV,Dominion,127.50,Storage,VA,City of Chesapeake,"Fentress Energy Storage, LLC"
AG1-364,PJM,2020-09-30,Withdrawn,2024-06-24,2023-11-30,TC1,PHASE 1,Deep Creek 115 kV,Dominion,40.00,Storage,VA,City of Chesapeake,Crossroads Energy Storage LLC
AE2-156,PJM,2019-03-15,Done,,2031-03-31,TC1,FINAL AGREEMENT,Yadkin 115 kV,Dominion,100.00,Storage,VA,City of Chesapeake,"Yadkins Energy Center, LLC"
AF1-123,PJM,2019-09-17,Done,,2032-12-31,TC1,FINAL AGREEMENT,Harper 230 kV,Dominion,253.20,Wind,VA,City of Chesapeake,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AF1-124,PJM,2019-09-17,Done,,2032-12-31,TC1,FINAL AGREEMENT,Harper 230 kV,Dominion,254.10,Wind,VA,City of Chesapeake,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AF1-125,PJM,2019-09-17,Done,,2032-12-31,TC1,FINAL AGREEMENT,Harper 230 kV,Dominion,249.30,Wind,VA,City of Chesapeake,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-226,PJM,2021-09-08,Withdrawn,2025-04-11,2025-12-01,TC2,PHASE 1,Clubhouse - Sapony 230 kV,Dominion,69.00,Solar,VA,City of Emporia,Virginia Electric and Power Company
AG2-010,PJM,2020-10-09,Withdrawn,2025-11-19,2027-12-01,TC2,Decision Point 1,Peninsula-Whealton 115 kV,Dominion,75.96,Storage,VA,City of Hampton,Delorean Power LLC dba Lightshift Energy
AH1-065,PJM,2021-07-27,Withdrawn,2025-12-02,2027-10-31,TC2,Decision Point 1,Hopewell 34.5kV,Dominion,8.00,Storage,VA,City of Hopewell,Churchill Storage Solutions LLC
AG2-202,PJM,2021-03-04,Withdrawn,2025-03-11,2022-10-31,TC2,APPLICATION REVIEW,Reusens 12.47 kV,AEP,20.00,Storage,VA,City of Lynchburg,"James Energy Center, LLC"
AH1-108,PJM,2021-08-04,Active,,,TC2,PHASE 2,Spruance NUG 230 kV,Dominion,9.00,Thermal,VA,City of Richmond,Spruance Operating Services LLC
AH1-323,PJM,2021-09-09,Withdrawn,2025-12-03,2030-12-31,TC2,Decision Point 1,Elmont 230 kV,Dominion,100.00,Storage,VA,City of Suffolk,Invenergy Storage Development LLC
AH1-730,PJM,,Withdrawn,2025-05-02,2028-04-30,TC2,RRI APPLICATION REVIEW,,Dominion,100.00,Storage,VA,City of Suffolk,"SolAmerica Energy, LLC"
AE2-123,PJM,2019-02-28,Withdrawn,2024-06-24,2027-12-31,TC1,PHASE 1,Birdneck-Landstown 230 kV,Dominion,163.30,Wind,VA,City of Virginia Beach,"Avangrid Renewables, LLC"
AE2-124,PJM,2019-02-28,Withdrawn,2024-06-24,2029-12-31,TC1,PHASE 1,Landstown 230 kV,Dominion,148.50,Wind,VA,City of Virginia Beach,"Avangrid Renewables, LLC"
AH1-138,PJM,2021-07-30,Active,,,TC2,PHASE 2,Penniman 34.5 kV,Dominion,8.40,Solar,VA,City of Williamsburg,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AH1-254,PJM,2021-09-10,Active,,,TC2,PHASE 2,Greenland Gap 500 kV II,APS,36.54,Wind,WV,Barbour,Renew Development Holdco LLC
AG2-423,PJM,2021-03-30,Active,,,TC2,PHASE 2,Cherry Run - Harmony 138 kV,APS,48.00,Solar,WV,Barbour,"Falling Waters Solar, LLC"
AG2-582,PJM,2021-03-31,Active,,,TC2,PHASE 2,Flint Run 500 kV,APS,2075.00,Thermal,WV,Doddridge,"CPV Shay, LLC"
AG1-219,PJM,2020-09-23,Withdrawn,2024-06-21,2023-12-01,TC1,PHASE 1,Layland 69 kV,AEP,39.50,Hybrid,WV,Fayette,"Fayette Solar I, LLC"
AG1-194,PJM,2020-09-18,Withdrawn,2025-01-22,2023-12-01,TC1,PHASE 2,Nuttall 138 kV,AEP,27.00,Hybrid,WV,Fayette,"Keeneys Creek Solar I, LLC"
AG2-657,PJM,2021-03-31,Active,,,TC2,PHASE 2,Kanawha River - Carbondale 138 kV,AEP,37.80,Solar,WV,Fayette,"Mammoth Solar, LLC"
AG2-655,PJM,2021-03-31,Withdrawn,2025-07-07,2024-06-30,TC2,PHASE 1,Mt. Storm-Bismark 500 kV,Dominion,210.00,Solar,WV,Grant,"Mount Storm Solar, LLC"
AH1-255,PJM,2021-09-09,Withdrawn,2025-07-07,2025-07-31,TC2,PHASE 1,Greenland Gap III,APS,240.00,Storage,WV,Grant,Mount Storm BESS 1 LLC
AH1-590,PJM,2021-09-10,Withdrawn,2025-07-08,2024-12-16,TC2,PHASE 1,Cherry Ridge 66 kV,APS,30.00,Solar,WV,Grant,"RWE Solar Development, LLC"
AH1-591,PJM,2021-09-10,Withdrawn,2025-07-08,2024-12-16,TC2,PHASE 1,Cherry Ridge 66kV,APS,30.00,Solar,WV,Grant,"RWE Solar Development, LLC"
AH1-592,PJM,2021-09-10,Withdrawn,2025-07-08,2024-12-16,TC2,PHASE 1,Cherry Ridge 66kV,APS,45.00,Storage,WV,Grant,"RWE Solar Development, LLC"
AH1-713,PJM,2025-04-07,Active,,,TC2,PHASE 2,Mt. Storm 500kV,Dominion,14.00,Thermal,WV,Grant,Virginia Electric and Power Company (d/b/a Dominion Energy Virginia)
AG2-062,PJM,2020-12-15,Active,,,TC2,PHASE 2,William 138 kV,APS,21.61,Wind,WV,Grant,Catamount Wind LLC
AH1-376,PJM,2021-09-10,Withdrawn,2025-04-22,2025-06-01,TC2,PHASE 1,Ronceverte - Clenden 46 kV,APS,16.80,Solar,WV,Greenbrier,"Trillium PV I, LLC"
AH1-387,PJM,2021-09-10,Active,,,TC2,PHASE 2,Meadowbrook-Greenland Gap  500kV,APS,22.05,Wind,WV,Hampshire,"CPV Springs Wind, LLC"
AG2-403,PJM,2021-03-30,Withdrawn,2025-12-02,2029-11-15,TC2,Decision Point 1,Meadow Brook - Mt. Storm 500 kV,APS,52.50,Solar,WV,Hardy,"Old Fields Solar, LLC"
AG2-404,PJM,2021-03-30,Withdrawn,2025-12-02,2029-11-15,TC2,Decision Point 1,Meadow Brook - Mt. Storm 500 kV II,APS,52.50,Solar,WV,Hardy,"Old Fields Solar, LLC"
