Project ID,ISO,Status,Queue Date,Proposed Date,Transmission Owner,Service Type,County,State,Study Cycle,Study Group,MW Capacity,Fuel Type
GI-DISIS-2022-41,SPP,Done,2022-05-31,2028-12-30,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,49.60,Wind
GI-DISIS-2022-29,SPP,Done,2022-05-31,2029-03-16,TSGT,ERIS/NRIS,Lincoln County,CO,RTOE Transitional Cluster,,199.90,Wind
GI-DISIS-2022-28,SPP,Done,2022-05-31,2029-12-31,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,199.00,Hybrid
GI-DISIS-2022-22,SPP,Done,2022-05-27,2028-10-01,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,90.00,Hybrid
GI-DISIS-2022-17,SPP,Done,2022-05-27,2030-05-01,TSGT,ERIS,Kiowa County/Prowers County,CO,RTOE Transitional Cluster,,199.00,Wind
GI-DISIS-2022-07,SPP,Done,2022-05-24,2029-02-27,TSGT,ERIS/NRIS,Weld County,CO,RTOE Transitional Cluster,,199.00,Hybrid
GI-DISIS-2022-04,SPP,Done,2022-05-09,2027-06-29,TSGT,ERIS,Kit Carson County,CO,RTOE Transitional Cluster,,158.00,Hybrid
GI-DISIS-2022-02,SPP,Done,2022-05-05,2030-04-01,TSGT,ERIS,Weld County,CO,RTOE Transitional Cluster,,199.00,Hybrid
GI-DISIS-2021-10,SPP,Done,2021-05-28,2027-09-05,TSGT,ERIS/NRIS,Converse County,WY,RTOE Transitional Cluster,,199.00,Hybrid
GI-CS-2025-29,SPP,Active,2025-10-06,,TSGT,ERIS,"Yuma County,",CO,RTOE Transitional Cluster,,300.00,Hybrid
GI-CS-2025-27,SPP,Active,2025-10-03,,TSGT,ERIS/NRIS,"Delta County,",CO,RTOE Transitional Cluster,,199.00,Thermal
GI-CS-2025-26,SPP,Active,2025-10-02,,TSGT,ERIS,"Kit Carson County,",CO,RTOE Transitional Cluster,,199.00,Wind
GI-CS-2025-25,SPP,Active,2025-10-02,,TSGT,ERIS,"Platte County,",WY,RTOE Transitional Cluster,,800.00,Hybrid
GI-CS-2025-24,SPP,Active,2025-09-29,,TSGT,ERIS/NRIS,"Kit Carson County,",CO,RTOE Transitional Cluster,,225.00,Wind
GI-CS-2025-20,SPP,Active,2025-09-29,,TSGT,ERIS/NRIS,"Morgan County,",CO,RTOE Transitional Cluster,,199.90,Hybrid
GI-CS-2025-19,SPP,Active,2025-09-29,,TSGT,ERIS/NRIS,"Morgan County,",CO,RTOE Transitional Cluster,,199.90,Hybrid
GI-CS-2025-17,SPP,Active,2025-09-26,,TSGT,ERIS/NRIS,"Moffat County,",CO,RTOE Transitional Cluster,,199.50,Hybrid
GI-CS-2025-16,SPP,Active,2025-09-26,,TSGT,ERIS/NRIS,"Weld County,",CO,RTOE Transitional Cluster,,150.00,Hybrid
GI-CS-2025-11,SPP,Active,2025-09-19,,TSGT,ERIS,"Lincoln County,",CO,RTOE Transitional Cluster,,199.00,Wind
GI-CS-2025-08,SPP,Active,2025-09-18,,TSGT,ERIS,"Kit Carson,",CO,RTOE Transitional Cluster,,199.00,Wind
GI-CS-2025-07,SPP,Active,2025-09-18,,TSGT,ERIS,"Kit Carson,",CO,RTOE Transitional Cluster,,199.00,Wind
GI-CS-2025-05,SPP,Active,2025-09-18,,TSGT,ERIS,"Weld County,",CO,RTOE Transitional Cluster,,300.00,Solar
GI-CS-2025-04,SPP,Active,2025-09-17,,TSGT,ERIS/NRIS,"Laramie County,",WY,RTOE Transitional Cluster,,330.00,Hybrid
GI-CS-2025-03,SPP,Active,2025-09-16,,TSGT,ERIS/NRIS,"Kit Carson,",CO,RTOE Transitional Cluster,,300.00,Hybrid
GI-CS-2025-02,SPP,Active,2025-09-11,,TSGT,ERIS/NRIS,"Adams County,",CO,RTOE Transitional Cluster,,199.00,Hybrid
GEN-2026-SR9,SPP,Active,2025-12-18,,ITCGP,ERIS,Wright,KS,Surplus,03 CENTRAL,252.00,Storage
GEN-2026-SR8,SPP,Active,2026-02-05,,AEP,NRIS,Elgin,OK,Surplus,04 SOUTHEAST,500.00,Storage
GEN-2026-SR7,SPP,Active,2026-01-21,,BEPC,ERIS,South Heart,ND,Surplus,01 NORTH,150.00,Storage
GEN-2026-SR6,SPP,Active,2026-01-22,,BEPC,ERIS,South Heart,ND,Surplus,01 NORTH,150.00,Storage
