Project ID,ISO,Queue Date,Status,County,State,POI Name,MW Capacity,Fuel Type,Proposed Date,Transmission Owner,Study Cycle,Study Group,Service Type,Done Date
J3429,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Pemiscot,MO,JIM HILL - HAYTI SOUTH 161.0kV,160.00,Solar,2028-05-31 04:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2023,South,NRIS,
J3435,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Arkansas,AR,STUTTGART RICUSKEY - WOODWARD 230 SUB 230.0kV,210.00,Solar,2028-04-01 04:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2023,South,NRIS,
J3439,MISO,2024-04-11 04:00:00+00:00,Active,Sherburne,MN,RICE LAKE SWITCH ELSM11 - ZIMMERMAN TAP - SS2858 - ELS1 69.0kV,72.00,Solar,2026-10-31 04:00:00+00:00,GREAT RIVER ENERGY,DPP-2023,West,NRIS,
J3443,MISO,2024-04-12 04:00:00+00:00,Active,Big Stone,MN,Big Stone South - Alexandira 345kV,250.00,Hybrid,2028-06-01 04:00:00+00:00,OTTER TAIL POWER COMPANY,DPP-2023,West,NRIS,
J3445,MISO,2024-04-11 04:00:00+00:00,Withdrawn,Olmsted,MN,Westside,45.00,Thermal,2028-08-01 04:00:00+00:00,GridUnity,DPP-2023,West,NRIS,
J3451,MISO,2024-04-05 04:00:00+00:00,Active,Alcona,MI,IOSCO - SPRUCE ROAD 138.0kV,120.00,Solar,2027-04-01 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3446,MISO,2024-04-04 04:00:00+00:00,Withdrawn,Kent,MI,Gaines substation 138kV,200.00,Storage,2028-06-30 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3437,MISO,2024-05-06 04:00:00+00:00,Withdrawn,Ogemaw,MI,LIVINGSTON - TITTABAWASSEE 345.0kV,160.00,Hybrid,2027-09-30 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3448,MISO,2024-04-18 04:00:00+00:00,Active,Grant,WI,NELSON DEWEY (ATC) - GRAN GRAE (ATC) 161.0kV,180.00,Wind,2028-08-31 04:00:00+00:00,DAIRYLAND POWER COOPERATIVE,DPP-2023,West,NRIS,
J3425,MISO,2024-04-10 04:00:00+00:00,Withdrawn,Jasper,TX,Peachtree Substation,59.20,Solar,2027-06-01 04:00:00+00:00,"EAST TEXAS ELECTRIC COOPERATIVE, INC.",DPP-2023,South,ERIS,
J3452,MISO,2024-04-13 04:00:00+00:00,Withdrawn,Morehouse,LA,BAXTER WILSON SES SWYD - PERRYVILLE 500 SWYD 500.0kV,50.00,Storage,2028-09-01 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2023,South,NRIS,
J3453,MISO,2024-04-13 04:00:00+00:00,Withdrawn,Holmes,MS,INDIANOLA 230/115 SUB - MCADAMS EHV 230.0kV,100.00,Storage,2028-09-01 04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2023,South,NRIS,
R5092,MISO,2026-04-10 09:43:08+00:00,Active,Washington,,4JORD - 4ASHLEY 138.0kV,185.00,Other,2024-06-30 04:00:00+00:00,NORTHERN STATES POWER COMPANY,,,NRIS,
J3805,MISO,2024-03-27 04:00:00+00:00,Active,Fayette,IL,Coffeen North-Ramsey East-4557,250.00,Solar,2027-09-01 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3809,MISO,2024-04-17 04:00:00+00:00,Withdrawn,Mason,IL,Winnebago,199.99,Wind,2028-09-01 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3719,MISO,2024-03-20 04:00:00+00:00,Active,Miami,IN,Greentown  - Walton. 230.0kV,200.00,Solar,2028-09-01 04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",DPP-2023,Central,NRIS,
J3720,MISO,2024-03-18 04:00:00+00:00,Withdrawn,Ralls,MO,5SPALDNG (AECI) - 5PENOCRK  161.0kV,200.00,Solar,2028-09-01 04:00:00+00:00,AMEREN MISSOURI,DPP-2023,Central,NRIS,
J3728,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Franklin,IL,Ameren E. West Frankfort - Franklin 138.0kV,400.00,Storage,2028-02-01 05:00:00+00:00,Southern Illinois Power Cooperative,DPP-2023,Central,NRIS,
J3729,MISO,2024-04-18 04:00:00+00:00,Active,Franklin,IL,Benton Northwest,200.00,Storage,2028-02-01 05:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
J3884,MISO,2025-02-09 05:00:00+00:00,Withdrawn,Benton,MN,BENTON COUNTY 345 - START DBL CKT W/EW LINE 345.0kV,300.00,Solar,2030-09-30 04:00:00+00:00,GREAT RIVER ENERGY,DPP-2025,West,NRIS,
